"1-105","1-0550","CHARCUTERIE FRAIS EMBALLE",NULL,"2017-07-28 09:00:02"
"1-106","1-0550","TRAITEUR FRAIS EMBALLE",NULL,"2017-07-28 09:00:02"
"1-108","1-0558","STAND HMR",NULL,"2017-07-28 09:00:02"
"1-110","1-0551","FROMAGE A LA COUPE",NULL,"2017-07-28 09:00:02"
"1-111","1-0551","AUTRE CREMERIE A LA COUPE",NULL,"2017-07-28 09:00:02"
"1-112","1-0551","FROMAGES FRAIS EMBALLES",NULL,"2017-07-28 09:00:02"
"1-131","1-0557","BOEUF TRADITIONNELLE",NULL,"2017-07-28 09:00:02"
"1-132","1-0557","VEAU TRADITIONNEL",NULL,"2017-07-28 09:00:02"
"1-133","1-0557","GIGOT",NULL,"2017-07-28 09:00:02"
"1-134","1-0557","MOUTON TRADITIONNEL",NULL,"2017-07-28 09:00:02"
"1-135","1-0557","PORC TRADITIONNEL",NULL,"2017-07-28 09:00:02"
"1-136","1-0557","VOLAILLE TRADITIONNELLE",NULL,"2017-07-28 09:00:02"
"1-137","1-0557","CHEVAL TRADITIONNEL",NULL,"2017-07-28 09:00:02"
"1-138","1-0557","AUTRES VIANDES TRADITIONN",NULL,"2017-07-28 09:00:02"
"1-139","1-0557","PRODUITS ELABORES TRADITI",NULL,"2017-07-28 09:00:02"
"1-140","1-0557","ABATS CRUS TRADITIONNELS",NULL,"2017-07-28 09:00:02"
"1-141","1-0557","VIANDE POUR ANIMAUX TRADI",NULL,"2017-07-28 09:00:02"
"1-151","1-0553","POISSON DE LA MER",NULL,"2017-07-28 09:00:02"
"1-152","1-0553","POISSON EAU DOUCE",NULL,"2017-07-28 09:00:02"
"1-153","1-0553","POISSON FUME SALE",NULL,"2017-07-28 09:00:02"
"1-154","1-0553","COQUILLAGE ET MOLLUSQUE",NULL,"2017-07-28 09:00:02"
"1-155","1-0553","CRUSTACES FRAIS ET CONGEL",NULL,"2017-07-28 09:00:02"
"1-156","1-0553","PRDTS TRAITEUR DE LA MER",NULL,"2017-07-28 09:00:02"
"1-157","1-0553","POISSONNERIE FRAICHE PREE",NULL,"2017-07-28 09:00:02"
"1-158","1-0553","POISSON DE LA MER IMPORTE",NULL,"2017-07-28 09:00:02"
"1-161","1-0554","PAINS",NULL,"2017-07-28 09:00:02"
"1-162","1-0554","VIENNOISERIES",NULL,"2017-07-28 09:00:02"
"1-163","1-0555","PATISSERIE FRAICHE",NULL,"2017-07-28 09:00:02"
"1-165","1-0555","PATISSERIE SECHE",NULL,"2017-07-28 09:00:02"
"1-166","1-0555","GALETTES ROIS HORS BRIOCH",NULL,"2017-07-28 09:00:02"
"1-167","1-0555","CHOCOLAT FRAIS",NULL,"2017-07-28 09:00:02"
"1-168","1-0555","GLACES INDIVIDUELLES",NULL,"2017-07-28 09:00:02"
"1-169","1-0554","MATIERE PREMIERE BOULANGE",NULL,"2017-07-28 09:00:02"
"1-170","1-0555","MATIERE PREMIERE PATISSER",NULL,"2017-07-28 09:00:02"
"1-181","1-0556","FRUITS FRAIS",NULL,"2017-07-28 09:00:02"
"1-182","1-0556","FRUITS SECS",NULL,"2017-07-28 09:00:02"
"1-183","1-0556","LEGUMES FRAIS",NULL,"2017-07-28 09:00:02"
"1-184","1-0556","LEGUMES SECS",NULL,"2017-07-28 09:00:02"
"1-185","1-0556","4EME GAMME",NULL,"2017-07-28 09:00:02"
"1-186","1-0556","5EME GAMME",NULL,"2017-07-28 09:00:02"
"1-190","1-0528","FLEURS COUPES",NULL,"2017-07-28 09:00:02"
"1-201","1-0114","PANIFICATION SECHE",NULL,"2017-07-28 09:00:02"
"1-202","1-0114","PAINS SPECIAUX EMBALLES",NULL,"2017-07-28 09:00:02"
"1-203","1-0114","BISCUITERIE SUCREE",NULL,"2017-07-28 09:00:02"
"1-204","1-0114","PATISSERIE INDUSTRIELLE",NULL,"2017-07-28 09:00:02"
"1-205","1-0114","PRODUITS POUR APERITIF",NULL,"2017-07-28 09:00:02"
