"20401","204","PATISS A DLC LONGUE +DE 30J.  ","001",""
"22804","228","EPICES                        ","004",""
"26402","264","VINS DE TABLE                 ","002",""
"22001","220","PDTS EXOTIQ.ET EUROPEENS      ","001",""
"21914","219","AUTRES COMPOSANTS DE REPAS    ","014",""
"26608","266","SUD OUEST                     ","008",""
"08301","083","FRITES SURGELEES              ","001",""
"22901","229","STANDARD                      ","001",""
"28406","284","HYGIENE ADULTE                ","006",""
"03107","031","TRANCHE SEC, CRU, OU CUIT     ","007",""
"28601","286","SOINS DU VISAGE               ","001",""
"23007","230","AUTRE                         ","007",""
"28407","284","HYGIENE BEBE                  ","007",""
"23904","239","SEC CHIEN                     ","004",""
"22604","226","AIDE CULINAIRE                ","004",""
"03306","033","TARTE SALEE                   ","006",""
"20901","209","ENFANTS                       ","001",""
"20903","209","ADULTES                       ","003",""
"16108","161","PAINS REGIONAUX               ","008",""
"03310","033","PATE FRAICHE                  ","010",""
"28504","285","SAVONS                        ","004",""
"28605","286","ACCESSOIRES DE BEAUTE         ","005",""
"28101","281","LAVAGE DU LINGE               ","001",""
"22203","222","SEMOULES                      ","003",""
"21204","212","GELIFIES GOMMES               ","004",""
"26906","269","LIQUEURS                      ","006",""
"22701","227","LEGUMES CONDIMENTAIRES        ","001",""
"28602","286","SOINS DU CORPS                ","002",""
"26606","266","BORDEAUX                      ","006",""
"21501","215","AIDES A LA PATISSERIE         ","001",""
"22102","221","MENAGERE                      ","002",""
"22104","221","PREPARATIONS                  ","004",""
"11027","110","FROMAGES ITALIENS             ","027",""
"18216","182","POP-CORN                      ","016",""
"22103","221","PATISSIERE                    ","003",""
"22101","221","DE LUXE                       ","001",""
"31601","316","VAISSELLES A JETER            ","001",""
"10118","101","TRAITEUR FRAIS EMBALLE        ","018",""
"26212","262","CAVE A BIERE                  ","012",""
"08303","083","POMME RISSOLEE & SAUTEE SURGEL","003",""
"21402","214","A PREPARER                    ","002",""
"01601","016","BEURRE 82% MG                 ","001",""
"23503","235","THON                          ","003",""
