"CAPITOUL","CAPITOUL"
"LE POCHAT","LE POCHAT"
"RICHES MON","RICHES MON"
"ETORKI","ETORKI"
"TRIBALLAT","TRIBALLAT"
"CHAUSSEE A","CHAUSSEE A"
"WYKE FARMS","WYKE FARMS"
"COUSTERON","COUSTERON"
"PORT SALUT","PORT SALUT"
"CATHEDRAL","CATHEDRAL"
"MERZER","MERZER"
"BABYBEL","BABYBEL"
"CRF SHIELD","CRF SHIELD"
"CHAVROUX","CHAVROUX"
"SAINT LOUP","SAINT LOUP"
"PETIT BILL","PETIT BILL"
"CHEVRETINE","CHEVRETINE"
"LOU PERAC","LOU PERAC"
"RIGAL","RIGAL"
"BREBIOU","BREBIOU"
"ETO.QUERCY","ETO.QUERCY"
"BRESSE BLE","BRESSE BLE"
"SOCIETE","SOCIETE"
"SAINT AGUR","SAINT AGUR"
"SOCIET.CRE","SOCIET.CRE"
"FOL EPI","FOL EPI"
"LA VACHE Q","LA VACHE Q"
"CRF DISNEY","CRF DISNEY"
"FICELLO","FICELLO"
"SYLPHIDE","SYLPHIDE"
"KIRI","KIRI"
"P'TIT LOUI","P'TIT LOUI"
"KIDIBOO","KIDIBOO"
"SALAKIS","SALAKIS"
"ST MORET","ST MORET"
"PHILADELPH","PHILADELPH"
"CARRE FRAI","CARRE FRAI"
"RONDELE","RONDELE"
"TARTARE","TARTARE"
"BOURSIN","BOURSIN"
"PER INTER","PER INTER"
"VALCREST","VALCREST"
"ST AMOUR","ST AMOUR"
"BAILLON","BAILLON"
"APERICUBE","APERICUBE"
"APERIVRAIS","APERIVRAIS"
"MILDE","MILDE"
"A.B.C.D","A.B.C.D"
"HERTA","HERTA"
"CRF-CDM","CRF-CDM"
"FLEURY MIC","FLEURY MIC"
"FLEURY","FLEURY"
"MADRANGE","MADRANGE"
"CITTERIO","CITTERIO"
"PETITGAS","PETITGAS"
"STOEFFLER","STOEFFLER"
"JEAN CABY","JEAN CABY"
"ESPUNA","ESPUNA"
"AMAND TERR","AMAND TERR"
"LEMELLE","LEMELLE"
"SAVEUR-AUG","SAVEUR-AUG"
"PRUNIER","PRUNIER"
"GUYADER","GUYADER"
"BD.CHESNEL","BD.CHESNEL"
"ALBERT LHU","ALBERT LHU"
"BAHIER","BAHIER"
"BORDEAUX C","BORDEAUX C"
"F.MESNIL","F.MESNIL"
"AOSTE","AOSTE"
"DELPEYRAT","DELPEYRAT"
"ROCHES BLC","ROCHES BLC"
"COCHONOU","COCHONOU"
"JUSTIN BRI","JUSTIN BRI"
"ROCHES","ROCHES"
"ST AGAUNE","ST AGAUNE"
"JUST.BRIDO","JUST.BRIDO"
"J.BRIDOU","J.BRIDOU"
"ISLA DELIC","ISLA DELIC"
"MORONI","MORONI"
"FRAIS DEVA","FRAIS DEVA"
"BJR CAMPAG","BJR CAMPAG"
"1","1"
"PAILLARD","PAILLARD"
"LABEYRIE","LABEYRIE"
"LARTIG.&.F","LARTIG.&.F"
"MONTAGNE N","MONTAGNE N"
"MONTAG.NRE","MONTAG.NRE"
"TOURNEBON","TOURNEBON"
"MARTINET","MARTINET"
"MONTERRAT","MONTERRAT"
"MIX BUFFET","MIX BUFFET"
"DAUNAT","DAUNAT"
"SODEBO","SODEBO"
"CRF AGIR","CRF AGIR"
"BONDUELLE","BONDUELLE"
"CRF BAP JR","CRF BAP JR"
"MARIE","MARIE"
"TRADI.ASIE","TRADI.ASIE"
"COTE BIO","COTE BIO"
"PERE DODU","PERE DODU"
"LE GAULOIS","LE GAULOIS"
"A.DE BLINI","A.DE BLINI"
"JARDIN BIO","JARDIN BIO"
"BLINI","BLINI"
"PERE OLIVE","PERE OLIVE"
"TIPIAK","TIPIAK"
"TE GUSTA","TE GUSTA"
"REGHALAL","REGHALAL"
"PANZANI","PANZANI"
"CROUSTIPAT","CROUSTIPAT"
"GDJU TOUTP","GDJU TOUTP"
"DAUNATURE","DAUNATURE"
"CEREAL BIO","CEREAL BIO"
"PAST.ANGEL","PAST.ANGEL"
"GD JURY.","GD JURY."
"RANA","RANA"
"SAINT JEAN","SAINT JEAN"
"ECOCHARD","ECOCHARD"
"MCCAIN","MCCAIN"
"WEIGHT.WAT","WEIGHT.WAT"
"WEIGHT WAT","WEIGHT WAT"
"VEGGIE","VEGGIE"
"LUANG","LUANG"
"MERE POULA","MERE POULA"
"TARTEFRAIS","TARTEFRAIS"
"Y.BRETAGNE","Y.BRETAGNE"
"POULARD","POULARD"
"DESSAINT D","DESSAINT D"
"ISLA MOND.","ISLA MOND."
"NOUR","NOUR"
"MAAYANE","MAAYANE"
"OF TOV","OF TOV"
"HOD LAVAN","HOD LAVAN"
"ASS BLEUE","ASS BLEUE"
"ARMORIC","ARMORIC"
"DELPIERRE","DELPIERRE"
"WILL&JAMES","WILL&JAMES"
"GDJURY BIO","GDJURY BIO"
"CH.DELGOVE","CH.DELGOVE"
"LANDVIKA","LANDVIKA"
"OVIVE","OVIVE"
"MERE ANGOT","MERE ANGOT"
"POLENGHI","POLENGHI"
"MONEGASQUE","MONEGASQUE"
"VANELLI","VANELLI"
"DELICEMER","DELICEMER"
"DELI.MONDE","DELI.MONDE"
"KRITSEN","KRITSEN"
"CAP OCEAN","CAP OCEAN"
"CRUSTARMOR","CRUSTARMOR"
"SELEC.MARE","SELEC.MARE"
"CORAYA","CORAYA"
"S.DUTRIAUX","S.DUTRIAUX"
"CRUSCANA","CRUSCANA"
"DOUCE FRAN","DOUCE FRAN"
"NAT.FRANCE","NAT.FRANCE"
"MAITRE COQ","MAITRE COQ"
"D.FRANCE","D.FRANCE"
"V.FRANCAIS","V.FRANCAIS"
"GASTRONOME","GASTRONOME"
"CRF HALAL","CRF HALAL"
"CUISINE&VR","CUISINE&VR"
"P.GUILLAUM","P.GUILLAUM"
"BRET.LAPIN","BRET.LAPIN"
"LOEUL ET P","LOEUL ET P"
"DUC","DUC"
"CHARAL","CHARAL"
"SOCOPA","SOCOPA"
"BIGARD","BIGARD"
"TENDRIADE","TENDRIADE"
"EQC","EQC"
"MACQUET","MACQUET"
"BRASERADES","BRASERADES"
"MAITRE JAC","MAITRE JAC"
"FQC","FQC"
"PEGASE","PEGASE"
"SELEC.GABY","SELEC.GABY"
"HENAFF","HENAFF"
"BRAT'S","BRAT'S"
"GENERIQUE","GENERIQUE"
"CLERMONT","CLERMONT"
"MORITZ","MORITZ"
"S.PRESSOIR","S.PRESSOIR"
"COOPERL","COOPERL"
"BROCELIAND","BROCELIAND"
"NEUTRE","NEUTRE"
