"005704","1","SEC","EPI","00000","AM","","","LAGO POKER C.CAPPUCCINO 900G","LAGO POKER C.CAPPUCCINO 900G","LAGO POKER C.CAPPUCCINO 900G","LAGO POKER C.CAPPUCCINO 900G","","","","","","","8004800003232","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","4.00","","301","","","","",""
"005705","1","SEC","EPI","00000","AM","","","LAGO POKER C.VANILLE 900G","LAGO POKER C.VANILLE 900G","LAGO POKER C.VANILLE 900G","LAGO POKER C.VANILLE 900G","","","","","","","8004800003225","","","","SEC","","","1","","","","0","","","","","NON","","","","4.00","","301","","","","",""
"005706","1","SEC","EPI","00000","AM","","","LAGO POKER C.NOISETTE 900G","LAGO POKER C.NOISETTE 900G","LAGO POKER C.NOISETTE 900G","LAGO POKER C.NOISETTE 900G","","","","","","","8004800003218","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","4.00","","301","","","","",""
"005707","1","SEC","EPI","00000","AM","","","LAGO POKER C.CHOCO 900G","LAGO POKER C.CHOCO 900G","LAGO POKER C.CHOCO 900G","LAGO POKER C.CHOCO 900G","","","","","","","8004800003201","","","","SEC","","","1","","","","0","","","","","NON","","","","4.00","","301","","","","",""
"005708","1","SEC","EPI","00000","AM","","","LAGO POKER C.CITRON 225G","LAGO POKER C.CITRON 225G","LAGO POKER C.CITRON 225G","LAGO POKER C.CITRON 225G","","","","","","","8004800003041","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","16.00","","301","","","","",""
"005709","1","SEC","EPI","00000","AM","","","LAGO POKER C.CAPPUCCINO 225G","LAGO POKER C.CAPPUCCINO 225G","LAGO POKER C.CAPPUCCINO 225G","LAGO POKER C.CAPPUCCINO 225G","","","","","","","8004800003034","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","16.00","","301","","","","",""
"005710","1","SEC","EPI","00000","AM","","","LAGO POKER C.CHOCO 225G","LAGO POKER C.CHOCO 225G","LAGO POKER C.CHOCO 225G","LAGO POKER C.CHOCO 225G","","","","","","","8004800003003","","","","SEC","","","1","","","","0","","","","","NON","","","","16.00","","301","","","","",""
"005712","1","SEC","EPI","00000","AM","","","LAGO GAUFRETTE CHOCO 2X125G","LAGO GAUFRETTE CHOCO 2X125G","LAGO GAUFRETTE CHOCO 2X125G","LAGO GAUFRETTE CHOCO 2X125G","","","","","","","8004800001719","","","","SEC","","","1","","","","0","","","","","NON","","","","20.00","","301","","","","",""
"005745","1","SEC","EPI","00000","AN","","","BALL.TRUFFE FANT.MACARON ESPR.","BALL.TRUFFE FANT.MACARON ESPR.","BALL.TRUFFE FANT.MACARON ESPR.","BALL.TRUFFE FANT.MACARON ESPR.","","","","","","","3560070981540","","","","SEC","","","1","","","","0","","","","","NON","","","","12.00","","301","","","","",""
"005801","1","SEC","EPI","00000","AM","","","LAGO POKER C.CACAO 150G","LAGO POKER C.CACAO 150G","LAGO POKER C.CACAO 150G","LAGO POKER C.CACAO 150G","","","","","","","8004800002877","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","16.00","","301","","","","",""
"005802","1","SEC","EPI","00000","AM","","","LAGO POKER C.NOISETTE 150G","LAGO POKER C.NOISETTE 150G","LAGO POKER C.NOISETTE 150G","LAGO POKER C.NOISETTE 150G","","","","","","","8004800002884","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","16.00","","301","","","","",""
"005803","1","SEC","EPI","00000","AM","","","LAGO POKER C.VANILLE 150G","LAGO POKER C.VANILLE 150G","LAGO POKER C.VANILLE 150G","LAGO POKER C.VANILLE 150G","","","","","","","8004800002860","","","","SEC","","","1","","","","0","","","","","NON","","","","16.00","","301","","","","",""
"005804","1","SEC","EPI","00000","AM","","","LAGO POKER C.CAPPUCCIO 150G","LAGO POKER C.CAPPUCCIO 150G","LAGO POKER C.CAPPUCCIO 150G","LAGO POKER C.CAPPUCCIO 150G","","","","","","","8004800003782","","","","SEC","","","1","","","","0","","","","","NON","","","","16.00","","301","","","","",""
"005805","1","SEC","EPI","00000","AM","","","LAGO POKER C.CITRON 150G","LAGO POKER C.CITRON 150G","LAGO POKER C.CITRON 150G","LAGO POKER C.CITRON 150G","","","","","","","8004800003799","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","16.00","","301","","","","",""
"005806","1","SEC","EPI","00000","AM","","","LAGO FEUILLETE GL.SUCRE 135G","LAGO FEUILLETE GL.SUCRE 135G","LAGO FEUILLETE GL.SUCRE 135G","LAGO FEUILLETE GL.SUCRE 135G","","","","","","","8004800007827","","","","SEC","","","1","","","","0","","","","","NON","","","","20.00","","301","","","","",""
"005807","1","SEC","EPI","00000","AM","","","LAGO FEUILLETE SC ABRICOT 135G","LAGO FEUILLETE SC ABRICOT 135G","LAGO FEUILLETE SC ABRICOT 135G","LAGO FEUILLETE SC ABRICOT 135G","","","","","","","8004800007810","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","20.00","","301","","","","",""
"005808","1","SEC","EPI","00000","AM","","","LAGO BISCUIT AMARETTO 200G","LAGO BISCUIT AMARETTO 200G","LAGO BISCUIT AMARETTO 200G","LAGO BISCUIT AMARETTO 200G","","","","","","","8004800007100","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","14.00","","301","","","","",""
"005809","1","SEC","EPI","00000","AM","","","LAGO PLAISIR M.CHOCO NOIR 190G","LAGO PLAISIR M.CHOCO NOIR 190G","LAGO PLAISIR M.CHOCO NOIR 190G","LAGO PLAISIR M.CHOCO NOIR 190G","","","","","","","8004800004000","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","16.00","","301","","","","",""
"005810","1","SEC","EPI","00000","AM","","","LAGO PLAISIR M.CHOCO LAIT 190G","LAGO PLAISIR M.CHOCO LAIT 190G","LAGO PLAISIR M.CHOCO LAIT 190G","LAGO PLAISIR M.CHOCO LAIT 190G","","","","","","","8004800004017","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","16.00","","301","","","","",""
"005811","1","SEC","EPI","00000","AM","","","LAGO PLAISIR CHOCO.NOIR 120G","LAGO PLAISIR CHOCO.NOIR 120G","LAGO PLAISIR CHOCO.NOIR 120G","LAGO PLAISIR CHOCO.NOIR 120G","","","","","","","8004800004208","","","","SEC","","","1","","","","0","","","","","NON","","","","30.00","","301","","","","",""
"005812","1","SEC","EPI","00000","AM","","","LAGO PLAISIR CHOCO.LAIT 120G","LAGO PLAISIR CHOCO.LAIT 120G","LAGO PLAISIR CHOCO.LAIT 120G","LAGO PLAISIR CHOCO.LAIT 120G","","","","","","","8004800004215","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","30.00","","301","","","","",""
"005813","1","SEC","EPI","00000","AM","","","LAGO COOKIES COMPLET 350G PACK","LAGO COOKIES COMPLET 350G PACK","LAGO COOKIES COMPLET 350G PACK","LAGO COOKIES COMPLET 350G PACK","","","","","","","8004800006509","","","","SEC","","","1","","NOUVEAUTE","","0","","","","","NON","","","","12.00","","301","","","","",""
"005814","1","SEC","EPI","00000","AM","","","LAGO COOKIES CEREALE 350G PACK","LAGO COOKIES CEREALE 350G PACK","LAGO COOKIES CEREALE 350G PACK","LAGO COOKIES CEREALE 350G PACK","","","","","","","8004800006516","","","","SEC","","","1","","","","0","","","","","NON","","","","12.00","","301","","","","",""
"005815","1","SEC","EPI","00000","AM","","","LAGO COOKIES OEUFS 350G PACK","LAGO COOKIES OEUFS 350G PACK","LAGO COOKIES OEUFS 350G PACK","LAGO COOKIES OEUFS 350G PACK","","","","","","","8004800006523","","","","SEC","","","1","","","","0","","","","","NON","","","","12.00","","301","","","","",""
"005816","1","SEC","EPI","00000","AM","","","LAGO COOKIES CREME 350G PACK","LAGO COOKIES CREME 350G PACK","LAGO COOKIES CREME 350G PACK","LAGO COOKIES CREME 350G PACK","","","","","","","8004800006530","","","","SEC","","","1","","","","0","","","","","NON","","","","12.00","","301","","","","",""
"005817","1","SEC","EPI","00000","AM","","","LAGO COOKIES CACAO+NOIS.350G","LAGO COOKIES CACAO+NOIS.350G","LAGO COOKIES CACAO+NOIS.350G","LAGO COOKIES CACAO+NOIS.350G","","","","","","","8004800006547","","","","SEC","","","1","","","","0","","","","","NON","","","","12.00","","301","","","","",""
