"","3","","SFG","","093031","","2018-06-15","2018-07-15","","","21.48","","","","","","","",""
"","3","","SFG","","098756","","2018-06-15","2018-07-15","","","1.99","","","","","","","",""
"","3","","SFG","","122089","","2018-06-15","2018-07-15","","","1.29","","","","","","","",""
"","3","","SFG","","131725","","2018-06-15","2018-07-15","","","2.39","","","","","","","",""
"","3","","SFG","","201160","","2018-06-15","2018-07-15","","","1.98","","","","","","","",""
"","3","","SFG","","201630","","2018-06-15","2018-07-15","","","2.05","","","","","","","",""
"","3","","SFG","","211008","","2018-06-15","2018-07-15","","","2.32","","","","","","","",""
"","3","","SFG","","217391","","2018-06-15","2018-07-15","","","0.79","","","","","","","",""
"","3","","SFG","","217392","","2018-06-15","2018-07-15","","","0.79","","","","","","","",""
"","3","","SFG","","218381","","2018-06-15","2018-07-15","","","2.32","","","","","","","",""
"","3","","SFG","","218382","","2018-06-15","2018-07-15","","","2.32","","","","","","","",""
"","3","","SFG","","297290","","2018-06-15","2018-07-15","","","1.99","","","","","","","",""
"","3","","SFG","","300560","","2018-06-15","2018-07-15","","","0.92","","","","","","","",""
"","3","","SFG","","302079","","2018-06-15","2018-07-15","","","2.12","","","","","","","",""
"","3","","SFG","","305138","","2018-06-15","2018-07-15","","","0.75","","","","","","","",""
"","3","","SFG","","361132","","2018-06-15","2018-07-15","","","5.59","","","","","","","",""
"","3","","SFG","","361187","","2018-06-15","2018-07-15","","","10.99","","","","","","","",""
"","3","","SFG","","361188","","2018-06-15","2018-07-15","","","9.45","","","","","","","",""
"","3","","SFG","","361191","","2018-06-15","2018-07-15","","","19.99","","","","","","","",""
"","3","","SFG","","376951","","2018-06-15","2018-07-15","","","75.98","","","","","","","",""
"","3","","SFG","","410524","","2018-06-15","2018-07-15","","","77.97","","","","","","","",""
"","3","","SFG","","502273","","2018-06-15","2018-07-15","","","13.99","","","","","","","",""
"","3","","SFG","","502311","","2018-06-15","2018-07-15","","","1.13","","","","","","","",""
"","3","","SFG","","502312","","2018-06-15","2018-07-15","","","2.19","","","","","","","",""
"","3","","SFG","","507192","","2018-06-15","2018-07-15","","","6.39","","","","","","","",""
"","3","","SFG","","507193","","2018-06-15","2018-07-15","","","10.45","","","","","","","",""
"","3","","SFG","","511111","","2018-06-15","2018-07-15","","","2.59","","","","","","","",""
"","3","","SFG","","543050","","2018-06-15","2018-07-15","","","14.99","","","","","","","",""
"","3","","SFG","","588044","","2018-06-15","2018-07-15","","","11.99","","","","","","","",""
"","3","","SFG","","621670","","2018-06-15","2018-07-15","","","2.32","","","","","","","",""
"","3","","SFG","","907365","","2018-06-15","2018-07-15","","","14.99","","","","","","","",""
"","3","","SFG","","907366","","2018-06-15","2018-07-15","","","14.99","","","","","","","",""
"","3","","SFG","","907368","","2018-06-15","2018-07-15","","","13.99","","","","","","","",""
"","3","001113","SFG","","067258","","2018-01-05","2018-12-31","","","3.85","","","","","","","",""
"","3","001113","SFG","","363061","","2018-01-05","2018-12-31","","","9.98","","","","","","","",""
"","3","001113","SFG","","363064","","2018-01-05","2018-12-31","","","9.98","","","","","","","",""
"","3","001113","SFG","","371535","","2018-01-05","2018-12-31","","","6.98","","","","","","","",""
"","3","001113","SFG","","379528","","2018-01-05","2018-12-31","","","7.15","","","","","","","",""
"","3","001113","SFG","","379748","","2018-01-05","2018-12-31","","","4.85","","","","","","","",""
"","3","001113","SFG","","379749","","2018-01-05","2018-12-31","","","2.75","","","","","","","",""
"","3","001113","SFG","","379750","","2018-01-05","2018-12-31","","","8.45","","","","","","","",""
"","3","001113","SFG","","379751","","2018-01-05","2018-12-31","","","15.35","","","","","","","",""
"","3","001113","SFG","","597309","","2018-01-05","2018-12-31","","","6.60","","","","","","","",""
"","3","001720","SFG","","067258","","2018-01-05","2018-12-31","","","3.99","","","","","","","",""
