"","301","SFG","005712","2","1.64","1.64","","","8004800001719"
"","301","SFG","005712","3","1.64","1.64","","","8004800001719"
"","301","SFG","005712","5","1.57","1.57","","","8004800001719"
"","301","SFG","005745","1","2.59","2.59","","","3560070981540"
"","301","SFG","005745","2","2.59","2.59","","","3560070981540"
"","301","SFG","005745","5","2.54","2.54","","","3560070981540"
"","301","SFG","005801","1","1.09","1.09","","","8004800002877"
"","301","SFG","005801","2","1.09","1.09","","","8004800002877"
"","301","SFG","005801","3","1.09","1.09","","","8004800002877"
"","301","SFG","005801","5","1.05","1.05","","","8004800002877"
"","301","SFG","005802","1","1.09","1.09","","","8004800002884"
"","301","SFG","005802","2","1.09","1.09","","","8004800002884"
"","301","SFG","005802","3","1.09","1.09","","","8004800002884"
"","301","SFG","005802","5","1.05","1.05","","","8004800002884"
"","301","SFG","005803","1","1.09","1.09","","","8004800002860"
"","301","SFG","005803","2","1.09","1.09","","","8004800002860"
"","301","SFG","005803","3","1.09","1.09","","","8004800002860"
"","301","SFG","005803","5","1.05","1.05","","","8004800002860"
"","301","SFG","005804","1","1.09","1.09","","","8004800003782"
"","301","SFG","005804","2","1.09","1.09","","","8004800003782"
"","301","SFG","005804","3","1.09","1.09","","","8004800003782"
"","301","SFG","005804","5","1.05","1.05","","","8004800003782"
"","301","SFG","005805","1","1.09","1.09","","","8004800003799"
"","301","SFG","005805","2","1.09","1.09","","","8004800003799"
"","301","SFG","005805","3","1.09","1.09","","","8004800003799"
"","301","SFG","005805","5","1.05","1.05","","","8004800003799"
"","301","SFG","005806","1","1.09","1.09","","","8004800007827"
"","301","SFG","005806","2","1.09","1.09","","","8004800007827"
"","301","SFG","005806","3","1.09","1.09","","","8004800007827"
"","301","SFG","005806","5","1.05","1.05","","","8004800007827"
"","301","SFG","005807","1","1.09","1.09","","","8004800007810"
"","301","SFG","005807","2","1.09","1.09","","","8004800007810"
"","301","SFG","005807","3","1.09","1.09","","","8004800007810"
"","301","SFG","005807","5","1.05","1.05","","","8004800007810"
"","301","SFG","005808","1","1.74","1.74","","","8004800007100"
"","301","SFG","005808","2","1.74","1.74","","","8004800007100"
"","301","SFG","005808","3","1.72","1.72","","","8004800007100"
"","301","SFG","005808","5","1.64","1.64","","","8004800007100"
"","301","SFG","005809","1","2.08","2.08","","","8004800004000"
"","301","SFG","005809","2","2.08","2.08","","","8004800004000"
"","301","SFG","005809","3","2.08","2.08","","","8004800004000"
"","301","SFG","005809","5","1.99","1.99","","","8004800004000"
"","301","SFG","005810","1","2.08","2.08","","","8004800004017"
"","301","SFG","005810","2","2.08","2.08","","","8004800004017"
"","301","SFG","005810","3","2.08","2.08","","","8004800004017"
"","301","SFG","005810","5","1.99","1.99","","","8004800004017"
"","301","SFG","005811","1","1.26","1.26","","","8004800004208"
"","301","SFG","005811","2","1.26","1.26","","","8004800004208"
"","301","SFG","005811","3","1.26","1.26","","","8004800004208"
"","301","SFG","005811","5","1.21","1.21","","","8004800004208"
"","301","SFG","005812","1","1.26","1.26","","","8004800004215"
"","301","SFG","005812","2","1.26","1.26","","","8004800004215"
"","301","SFG","005812","3","1.26","1.26","","","8004800004215"
"","301","SFG","005812","5","1.21","1.21","","","8004800004215"
"","301","SFG","005813","1","1.56","1.56","","","8004800006509"
"","301","SFG","005813","2","1.56","1.56","","","8004800006509"
"","301","SFG","005813","3","1.56","1.56","","","8004800006509"
"","301","SFG","005813","5","1.50","1.50","","","8004800006509"
"","301","SFG","005814","1","1.56","1.56","","","8004800006516"
"","301","SFG","005814","2","1.56","1.56","","","8004800006516"
"","301","SFG","005814","3","1.56","1.56","","","8004800006516"
"","301","SFG","005814","5","1.50","1.50","","","8004800006516"
"","301","SFG","005815","1","1.56","1.56","","","8004800006523"
"","301","SFG","005815","2","1.56","1.56","","","8004800006523"
"","301","SFG","005815","3","1.56","1.56","","","8004800006523"
"","301","SFG","005815","5","1.50","1.50","","","8004800006523"
"","301","SFG","005816","1","1.56","1.56","","","8004800006530"
"","301","SFG","005816","2","1.56","1.56","","","8004800006530"
"","301","SFG","005816","3","1.56","1.56","","","8004800006530"
"","301","SFG","005816","5","1.50","1.50","","","8004800006530"
"","301","SFG","005817","1","1.56","1.56","","","8004800006547"
"","301","SFG","005817","2","1.56","1.56","","","8004800006547"
"","301","SFG","005817","3","1.56","1.56","","","8004800006547"
"","301","SFG","005817","5","1.50","1.50","","","8004800006547"
"","301","SFG","005819","1","1.56","1.56","","","8004800006554"
"","301","SFG","005819","2","1.56","1.56","","","8004800006554"
"","301","SFG","005819","3","1.56","1.56","","","8004800006554"
"","301","SFG","005819","5","1.50","1.50","","","8004800006554"
"","301","SFG","005820","1","1.56","1.56","","","8004800006561"
"","301","SFG","005820","2","1.56","1.56","","","8004800006561"
"","301","SFG","005820","3","1.56","1.56","","","8004800006561"
"","301","SFG","005820","5","1.50","1.50","","","8004800006561"
"","301","SFG","005821","1","1.56","1.56","","","8004800006578"
"","301","SFG","005821","2","1.56","1.56","","","8004800006578"
"","301","SFG","005821","3","1.56","1.56","","","8004800006578"
"","301","SFG","005821","5","1.50","1.50","","","8004800006578"
"","301","SFG","005851","1","2.45","2.45","","","3560070988402"
"","301","SFG","005851","2","2.45","2.45","","","3560070988402"
"","301","SFG","005851","4","2.45","2.45","","","3560070988402"
"","301","SFG","005978","1","3.93","3.93","","","4008400204628"
