"2100012","100012","","","","2"
"4100015","100015","","","","2"
"4100026","100026","","","","2"
"4100060","100060","","","","2"
"4100113","100113","","","","2"
"2100142","100142","","","","1"
"2100153","100153","","","","1"
"2100156","100156","","","","1"
"4100196","100196","","","","2"
"4100225","100225","","","","2"
"4100229","100229","","","","2"
"2100245","100245","","","","2"
"2100255","100255","","","","1"
"2100282","100282","","","","2"
"4100324","100324","","","","2"
"2100326","100326","","","","1"
"2100337","100337","","","","1"
"2100339","100339","","","","1"
"2100347","100347","","","","1"
"4100365","100365","","","","2"
"4100379","100379","","","","2"
"2100396","100396","","","","2"
"2100452","100452","","","","2"
"2100461","100461","","","","2"
"3100470","100470","","","","2"
"1100479","100479","","","","2"
"1100499","100499","","","","2"
"2100512","100512","","","","2"
"1100521","100521","","","","2"
"2100557","100557","","","","2"
"3100578","100578","","","","2"
"2100605","100605","","","","2"
"3100671","100671","","","","2"
"4100700","100700","","","","2"
"2100732","100732","","","","1"
"4100753","100753","","","","2"
"4100809","100809","","","","2"
"2100841","100841","","","","1"
"2100849","100849","","","","2"
"2100865","100865","","","","2"
"4100870","100870","","","","2"
"4100932","100932","","","","2"
"2100935","100935","","","","2"
"310098","10098","","","","2"
"2100985","100985","","","","2"
"2101002","101002","","","","2"
"2101020","101020","","","","2"
"2101044","101044","","","","2"
"2101050","101050","","","","1"
"3101053","101053","","","","2"
"2101060","101060","","","","2"
"2101061","101061","","","","2"
"2101063","101063","","","","2"
"2101151","101151","","","","2"
"2101152","101152","","","","2"
"2101171","101171","","","","2"
"210119","10119","","","","2"
"4101202","101202","","","","2"
"4101205","101205","","","","2"
"4101208","101208","","","","2"
"4101209","101209","","","","2"
"2101316","101316","","","","1"
"4101319","101319","","","","2"
"2101328","101328","","","","2"
"3101334","101334","","","","2"
"2101345","101345","","","","1"
"4101421","101421","","","","2"
"2101485","101485","","","","2"
"2101504","101504","","","","2"
"2101533","101533","","","","2"
"2101561","101561","","","","2"
"4101573","101573","","","","2"
"410159","10159","","","","2"
"1101675","101675","","","","1"
"3101721","101721","","","","2"
"2101824","101824","","","","2"
"2101979","101979","","","","2"
"2102026","102026","","","","2"
"4102036","102036","","","","2"
"4102050","102050","","","","2"
"4102051","102051","","","","2"
"4102052","102052","","","","2"
"2102099","102099","","","","1"
"310217","10217","","","","2"
"2102186","102186","","","","2"
"2102203","102203","","","","2"
"2102236","102236","","","","2"
"2102264","102264","","","","2"
"2102320","102320","","","","2"
"2102321","102321","","","","2"
"2102326","102326","","","","2"
"2102330","102330","","","","2"
"2102340","102340","","","","2"
"210235","10235","","","","2"
"110243","10243","","","","2"
"2102451","102451","","","","2"
"4102475","102475","","","","2"
"4102527","102527","","","","2"
"210258","10258","","","","1"
"4102695","102695","","","","2"
"4102702","102702","","","","2"
"2102746","102746","","","","1"
"410284","10284","","","","2"
"3102971","102971","","","","2"
"2102973","102973","","","","2"
"2103051","103051","","","","2"
"3103156","103156","","","","2"
"4103189","103189","","","","2"
"4103227","103227","","","","2"
"2103250","103250","","","","2"
"2103285","103285","","","","2"
"2103314","103314","","","","2"
"2103319","103319","","","","2"
"4103331","103331","","","","2"
"2103449","103449","","","","2"
"3103550","103550","","","","2"
"2103568","103568","","","","2"
"2103572","103572","","","","2"
"2103613","103613","","","","2"
"2103635","103635","","","","2"
"2103706","103706","","","","2"
"2103729","103729","","","","2"
"2103743","103743","","","","2"
"2103793","103793","","","","2"
"2103817","103817","","","","2"
"2103831","103831","","","","1"
"2103851","103851","","","","2"
"2103862","103862","","","","2"
"2103961","103961","","","","2"
"2103977","103977","","","","2"
"210399","10399","","","","2"
"2104001","104001","","","","2"
"2104012","104012","","","","2"
"3104013","104013","","","","2"
"4104015","104015","","","","2"
"2104023","104023","","","","2"
"2104031","104031","","","","2"
"2104039","104039","","","","2"
"4104095","104095","","","","2"
"2104105","104105","","","","2"
"2104110","104110","","","","2"
"2104111","104111","","","","2"
"2104113","104113","","","","2"
"3104121","104121","","","","2"
"3104128","104128","","","","2"
"2104129","104129","","","","2"
"2104141","104141","","","","2"
"2104156","104156","","","","1"
"2104162","104162","","","","2"
"2104168","104168","","","","2"
"3104175","104175","","","","2"
"4104218","104218","","","","2"
"2104221","104221","","","","2"
"4104229","104229","","","","2"
"2104232","104232","","","","2"
