"20901","209","ENFANTS                       ","01",""
"22604","226","AIDE CULINAIRE                ","04",""
"22804","228","EPICES                        ","04",""
"26402","264","VINS DE TABLE                 ","02",""
"22001","220","PDTS EXOTIQ.ET EUROPEENS      ","01",""
"21914","219","AUTRES COMPOSANTS DE REPAS    ","14",""
"26608","266","SUD OUEST                     ","08",""
"08301","083","FRITES SURGELEES              ","01",""
"22901","229","STANDARD                      ","01",""
"28406","284","HYGIENE ADULTE                ","06",""
"03107","031","TRANCHE SEC, CRU, OU CUIT     ","07",""
"23007","230","AUTRE                         ","07",""
"28407","284","HYGIENE BEBE                  ","07",""
"23904","239","SEC CHIEN                     ","04",""
"03306","033","TARTE SALEE                   ","06",""
"20903","209","ADULTES                       ","03",""
"16108","161","PAINS REGIONAUX               ","08",""
"03310","033","PATE FRAICHE                  ","10",""
"28504","285","SAVONS                        ","04",""
"28605","286","ACCESSOIRES DE BEAUTE         ","05",""
"28101","281","LAVAGE DU LINGE               ","01",""
"28601","286","SOINS DU VISAGE               ","01",""
"22203","222","SEMOULES                      ","03",""
"21204","212","GELIFIES GOMMES               ","04",""
"26906","269","LIQUEURS                      ","06",""
"22701","227","LEGUMES CONDIMENTAIRES        ","01",""
"28602","286","SOINS DU CORPS                ","02",""
"26606","266","BORDEAUX                      ","06",""
"21501","215","AIDES A LA PATISSERIE         ","01",""
"22102","221","MENAGERE                      ","02",""
"22104","221","PREPARATIONS                  ","04",""
"11027","110","FROMAGES ITALIENS             ","27",""
"18216","182","POP-CORN                      ","16",""
"22103","221","PATISSIERE                    ","03",""
"22101","221","DE LUXE                       ","01",""
"31601","316","VAISSELLES A JETER            ","01",""
"10118","101","TRAITEUR FRAIS EMBALLE        ","18",""
"26212","262","CAVE A BIERE                  ","12",""
"08303","083","POMME RISSOLEE & SAUTEE SURGEL","03",""
"08101","081","PREPARATION BASE POISSON      ","01",""
"21402","214","A PREPARER                    ","02",""
"23503","235","THON                          ","03",""
"26302","263","EAUX GAZEUSES                 ","02",""
"27003","270","TEQUILA ET AUTRES             ","03",""
"08004","080","CREPES SURGELEES              ","04",""
"26105","261","BOISSON AUX FRUITS PETILLANTE ","05",""
"21203","212","SACHETS CHOCOLAT              ","03",""
"22106","221","AUTRES                        ","06",""
"39701","397","BOUGIES                       ","01",""
"02003","020","CREMES                        ","03",""
"20501","205","BISCUITS APERITIFS            ","01",""
"03401","034","CHARCUTERIE HALLAL            ","01",""
"28207","282","WC ET FOSSES                  ","07",""
"18509","185","SOUPES                        ","09",""
"20402","204","PATISS.A DLC COURTE -DE 30J.  ","02",""
"26602","266","LOIRE                         ","02",""
"08409","084","CHAMPIGNON SURGELE            ","09",""
"27004","270","WHISKY                        ","04",""
"26109","261","SIROPS ET CONCENTRES          ","09",""
"26107","261","PUR JUS                       ","07",""
"28210","282","FOURS                         ","10",""
"23302","233","AUTRES FRUITS AU SIROP        ","02",""
"21001","210","THES                          ","01",""
"22201","222","PUREE DE POMME DE TERRE       ","01",""
"32202","322","ECRITURE ENCRE                ","02",""
"08407","084","LEGUME CUISINE SURGELE        ","07",""
"11021","110","COMTE                         ","21",""
"26102","261","LIMONADE ET LIMES             ","02",""
"21002","210","INFUSIONS                     ","02",""
"23004","230","AUTRES HUILES VEGETALES       ","04",""
"20304","203","CASSE-CROUTE ET GOUTER        ","04",""
"08202","082","VOLAILLES DIVERSES ENTIERES   ","02",""
"18501","185","SALADES                       ","01",""
"22404","224","BRUN ET COMPLET               ","04",""
"27002","270","VODKA                         ","02",""
"23005","230","OLIVE                         ","05",""
"22204","222","AUTRES                        ","04",""
"03203","032","SAUCISSE SECHE PUR PORC       ","03",""
"28405","284","HYGIENE FEMININE              ","05",""
"23602","236","FOIE GRAS                     ","02",""
"28505","285","BAINS ET DOUCHES              ","05",""
"08401","084","HARICOTS VERTS                ","01",""
"20803","208","BOISSONS MALTEES              ","03",""
"26905","269","EAUX DE VIE                   ","05",""
"23206","232","PATE A TARTINER               ","06",""
"28403","284","MOUCHOIRS                     ","03",""
"26907","269","RHUM                          ","07",""
"00204","002","MOUSSE                        ","04",""
"26111","261","AUTRES                        ","11",""
"35705","357","CHIENS                        ","05",""
"35704","357","CHATS                         ","04",""
"10506","105","PATES / RILLETTES             ","06",""
"08106","081","COQUILLE CUISINEE             ","06",""
"09101","091","BATONNET CREME GLACEE         ","01",""
"08104","081","CRUSTACE COQUILLAG. MOLLU. SRG","04",""
"22202","222","FECULE                        ","02",""
"20401","204","PATISS A DLC LONGUE +DE 30J.  ","01",""
"03312","033","PLAT PREPARE                  ","12",""
"28508","285","HYGIENE BUCCO-DENTAIRE        ","08",""
"20904","209","BARRES CEREALIERES            ","04",""
"08304","083","AUTRES GARNITURES SURGELEES   ","04",""
"22805","228","HERBES                        ","05",""
"06801","068","BOEUF                         ","01",""
"22602","226","POTAGE LIQUIDE                ","02",""
"28603","286","MAQUILLAGE                    ","03",""
"26301","263","EAUX PLATES                   ","01",""
"20306","203","BISC.PATISSIERS               ","06",""
"31305","313","BOISSELLERIE & ART.ASSIMILES  ","05",""
"28201","282","LIQUIDES DE SYNTHESE          ","01",""
"26108","261","JUS ABC ET NECTARS            ","08",""
"21917","219","PRODUITS MINCEUR              ","17",""
"02201","022","PATE MOLLE CROUTE FLEURIE     ","01",""
"00205","002","ENTREMET                      ","05",""
"10505","105","SALAISON CUITE                ","05",""
"17001","170","MATIERES PREMIERES PATISSERIE ","01",""
"02206","022","PATE PERSILLEE                ","06",""
"26902","269","COGNAC                        ","02",""
