"4-1011","001","NATURE                        ","001"
"4-1022","001","AROMATISE                     ","002"
"4-1033","001","FRUIT ET PULPE                ","003"
"4-1044","001","A BOIRE                       ","004"
"4-1055","001","A BASE DE SOJA                ","005"
"4-2011","002","GELIFIES SANS CREME           ","001"
"4-2022","002","GELIFIES AVEC CREME           ","002"
"4-2033","002","CREME                         ","003"
"4-2044","002","MOUSSE                        ","004"
"4-2055","002","ENTREMET                      ","005"
"4-2066","002","FLAN NAPPE                    ","006"
"4-2077","002","COMPOTE ET CONFITURE FRAICHE  ","007"
"4-2088","002","AUTRES DESSERTS               ","008"
"4-3011","003","NATURE                        ","001"
"4-3022","003","AROMATISES                    ","002"
"4-3033","003","ALIMENTS BEBE","003"
"4-4011","004","PATES LISSES NATURES          ","001"
"4-4022","004","PATE LISSE FRUITEE ET AROMATIS","002"
"4-4033","004","CAMPAGNE                      ","003"
"4-4044","004","FAISSELLE                     ","004"
"4-4055","004","SPECIALITES                   ","005"
"4-5011","005","EPAISSE                       ","001"
"4-5022","005","FLUIDE                        ","002"
"4-5033","005","PDTS A BASE DE CREME          ","003"
"4-5044","005","SAUCES FRAICHES               ","004"
"4-6011","006","JUS FRUITS                    ","001"
"4-6033","006","BOISSON AUX FRUITS            ","003"
"4-8011","008","CRU                           ","001"
"4-8022","008","PASTEURISE                    ","002"
"4-8033","008","FERMENTE OU BATTU             ","003"
"4-16011","016","BEURRE 82% MG                 ","001"
"4-16022","016","BEURRE ALLEGE                 ","002"
"4-17011","017","VEGETALE NORMALE 82%MG        ","001"
"4-17022","017","VEGETALE ALLEGEE 60%MG        ","002"
"4-17033","017","ALLEGE MIXTE CUISINABLE 60%MG ","003"
"4-17055","017","GRAISSE A FRIRE               ","005"
"4-18011","018","DOUX                          ","001"
"4-18022","018","DEMI SEL                      ","002"
"4-19011","019","UHT + STERILISE               ","001"
"4-20022","020","DESSERT                       ","002"
"4-20033","020","CREMES                        ","003"
"4-20044","020","SPECIALITES                   ","004"
"4-20066","020","SAUCES                        ","006"
"4-21011","021","FRAIS                         ","001"
"4-21044","021","POULE PLEIN AIR               ","004"
"4-21055","021","OEUFS BIO                     ","005"
"4-21077","021","EN CAGE                       ","007"
