,"001","YAOURTS                                      ",,,"3"
,"002","DESSERTS                                     ",,,"3"
,"003","SUISSES                                      ",,,"3"
,"004","FROMAGES FRAIS                               ",,,"3"
,"005","CREME FRAICHE/PDTS BASE CREME                ",,,"3"
,"006","JUS ET NECTAR FRUITS FRAIS                   ",,,"3"
,"008","LAIT FRAIS                                   ",,,"3"
,"016","BEURRE ET SPEC.LAITIERES                     ",,,"3"
,"017","MARGARINE & GRAISSE A F                      ",,,"3"
,"018","PATE A TARTINER                              ",,,"3"
,"019","LAIT LONGUE CONSERVATION                     ",,,"1"
,"020","PRODUIT LAITIER UHT/ AUTRE UHT               ",,,"1"
,"021","OEUFS                                        ",,,"3"
,"022","FROMAGES LIBRE SERVICE                       ",,,"3"
,"023","CUBE APERITIF                                ",,,"3"
,"029","OVOPRODUITS PRODUITS DE RHF)                 ",,,"3"
,"031","CHARCUTERIE PRE-EMBALLEE                     ",,,"3"
,"032","JB & SCISSON SEC LS/VERRINE                  ",,,"1"
,"033","TRAITEUR LS                                  ",,,"3"
,"034","CHARCUTERIE HALLAL/CASHER                    ",,,"3"
,"041","POISSONS FUMES / SALES /SECHES               ",,,"3"
,"042","MARINADES                                    ",,,"3"
,"043","PRODUITS CANAPES                             ",,,"3"
,"044","PRODUITS TRAITEURS DE LA MER                 ",,,"3"
,"050","POULET LS                                    ",,,"3"
,"051","DINDE LS                                     ",,,"3"
,"052","CANARD ET OIE LS                             ",,,"3"
,"053","PINTADE LS                                   ",,,"3"
,"054","CAILLE PIGEON GIBIER LS                      ",,,"1"
,"055","LAPIN LS                                     ",,,"3"
,"056","ABATS DE VOLAILLE CRU LS                     ",,,"3"
,"057","ELABORES CUITS ET CRUS LS                    ",,,"3"
,"058","ALIMENTS POUR ANIMAUX LS                     ",,,"1"
,"060","BOEUF LS                                     ",,,"3"
,"061","VEAU LS                                      ",,,"3"
,"062","AGNEAU LS                                    ",,,"3"
,"064","PORC LS                                      ",,,"3"
,"065","CHEVAL LS                                    ",,,"3"
,"066","STEAK HACHE LS                               ",,,"3"
,"067","SNACK LS                                     ",,,"3"
,"068","ABATS CRUS LS                                ",,,"3"
,"069","AUTRES VIANDES LS                            ",,,"3"
,"070","VIANDES POUR ANIMAUX LS                      ",,,"3"
,"071","DECOUPE VOLAILLE BOUCHERIE LS                ",,,"3"
,"080","POTAGES ET ENTREES SURGELES                  ",,,"3"
,"081","POISSONS, F.DE MER,ESCARG. SRG               ",,,"3"
,"082","VIANDES ET ABATS SURGELES                    ",,,"2"
,"083","GARNITURES DE P. DE TERRE SRG                ",,,"2"
,"084","LEGUMES SURGELES                             ",,,"2"
,"085","PLATS CUISINES SURGELES                      ",,,"2"
,"086","PATISSERIES ET PATES SURGELEES               ",,,"2"
,"087","FRUITS ET JUS DE FRT SURGELES                ",,,"2"
,"088","AIDES CULINAIRES                             ",,,"1"
,"090","GLACES VRAC                                  ",,,"2"
,"091","GLACES DETENTE                               ",,,"2"
,"092","SPEC.INDIV. A PARTAGER GLACES                ",,,"3"
,"100","CHARCUTERIE COUPE                            ",,,"3"
,"101","TRAITEUR COUPE                               ",,,"3"
,"102","STAND PIZZA QUICHE                           ",,,"3"
,"103","STAND ROTISSERIE                             ",,,"3"
,"104","STAND SANDWICH                               ",,,"3"
,"105","CHARCUTERIE FRAIS EMBALLE                    ",,,"3"
,"106","TRAITEUR FRAIS EMBALLE                       ",,,"3"
,"108","STAND HMR                                    ",,,"3"
,"110","FROMAGE A LA COUPE                           ",,,"3"
,"111","AUTRE CREMERIE A LA COUPE                    ",,,"3"
,"112","FROMAGES FRAIS EMBALLES                      ",,,"3"
,"136","VOLAILLE TRAD                                ",,,"3"
,"138","AUTRES VIANDES TRAD",,,"3"
,"139","PRODUITS ELABORES TRAD                       ",,,"3"
,"154","COQUILLAGE ET MOLLUSQUES                     ",,,"3"
,"157","POISSONNERIE FRAICHE PRE EMBAL               ",,,"3"
,"161","PAINS                                        ",,,"3"
,"162","VIENNOISERIES                                ",,,"3"
,"163","PATISSERIE FRAICHE                           ",,,"3"
,"165","PATISSERIE SECHE                             ",,,"1"
,"166","GALETTES DES ROIS HORS BRIOCHE               ",,,"2"
,"167","CHOCOLAT FRAIS                               ",,,"3"
,"168","GLACES INDIVIDUELLES                         ",,,"2"
,"169","MATIERES PREMIERES BOULANGERIE               ",,,"1"
,"170","MATIERES PREMIERS PATISSERIE                 ",,,"3"
,"181","FRUITS FRAIS                                 ",,,"1"
,"182","FRUITS SECS                                  ",,,"3"
,"183","LEGUMES FRAIS                                ",,,"3"
,"185","4EME GAMME                                   ",,,"3"
,"186","5EME GAMME                                   ",,,"3"
,"201","PANIFICATION SECHE                           ",,,"1"
,"202","PAINS SPECIAUX EMBALLES                      ",,,"3"
,"203","BISCUITERIE SUCREE                           ",,,"1"
,"204","PATISSERIE-INDUSTRIELLE                      ",,,"1"
,"205","PRODUITS POUR APERITIF                       ",,,"1"
