Gencod (EAN);IFLS;Désignation;Regle;Code. Fourn.;Fournisseur
3560070541065;S28363;4X100G FLAN NATURE CARREFOUR       ;Cde 25 col grp;00091653;LACTALIS  
3560070541300;689782;8X100G FLAN CHOCO NAPPE CHOCO CRF  ;Cde 50 col grp;00096724;SENAGRAL  
3 270 190 205 777;S28695;4X100G CREME CARAMEL COCO CRF      ;Cde 25 col grp;00091653;LACTALIS  
3270190026273;S28364;4X100G CREME CARAMEL CRF           ;Cde 25 col grp;00091653;LACTALIS  
3245413843937;S28366;4X100G CREME OEUFS VANILLE CRF     ;Cde 25 col grp;00091653;LACTALIS  
3023290624265;950019;4X100G LAITIE.CRM OEUF VANILLE     ;Cde 25 col grp;00091653;LACTALIS  
3023290112243;S49214;8X100G PETIT POT CREME CHOCOLAT    ;Cde 25 col grp;00091653;LACTALIS  
3023290112267;S49215;8X100G PETIT POT CREME VANILLE     ;Cde 25 col grp;00091653;LACTALIS  
3479571000011;281344;150G.TEURGOULE CANNELL.JANVILL     ;;00088642;LOGIDIS FR
3279231500000;067364;2X RIZ AU LAIT VANILLE LA FERM     ;;00088642;LOGIDIS FR
3279231503001;097807;2X160G RIZ AU LAIT RHUM RAISIN     ;;00088642;LOGIDIS FR
3279231501007;409729;2X160G RIZ LAIT LA FERMIERE        ;;00088642;LOGIDIS FR
3270190202837;S28697;4X100G GATEAU DE SEMOULE CRF       ;Cde 25 col grp;00091653;LACTALIS  
3608580709916;693604;4X100G RIZ AU LAIT VANILLE BM      ;;00088642;LOGIDIS FR
3045320519402;819389;4X100G SEMOUL.LAI.BONNE MAMAN      ;;00088642;LOGIDIS FR
3023290169940;S63917;4X115G RIZ AU LAIT RHUM RAISIN     ;;00091653;LACTALIS  
3560071073947;556596;4X115G RIZ AU LAIT VANILLE CRF     ;Cde 50 col grp;00096725;AVI CHAREN
3023290169957;S63919;4X115G RIZ LT SAV.VAN.LAITIERE     ;;00091653;LACTALIS  
3560070951673;S02021;4X115G SEMOULE VANILLE CRF         ;;00091653;LACTALIS  
5410096784701;424084;500G RIZ LAIT SAV.VAN.LAITIERE     ;Cde 25 col grp;00091653;LACTALIS  
3218930312002;420365;BQ 600G BOUILLIE AVOINE EVEN       ;;00088642;LOGIDIS FR
3023290239902;S86244;170G POT CHOCO//PECAN CARAMEL      ;;00091653;LACTALIS  
3023290171073;S86243;170G POT CHOCO/MACADAMIA CARAMEL   ;;00091653;LACTALIS  
3023290170977;S86242;170G POT CHOCOLAT LAIT NOIS/CARAMEL;;00091653;LACTALIS  
3023290233702;S76484;4X100G CREME CARAMEL LA LAITI.     ;;00091653;LACTALIS  
3023290640265;839193;4X100G PETIT POT CREME BISCUIT P.V.;Cde 25 col grp;00091653;LACTALIS  
3023290112212;S21657;4X100G PETIT POT CREME CAFE        ;;00091653;LACTALIS  
3270190216827;348027;4X100G PETIT POT CREME CAFE CRF    ;Cde 50 col grp;00096724;SENAGRAL  
3023290236833;S21654;4X100G PETIT POT CREME CARAMEL     ;;00091653;LACTALIS  
3245412404375;284799;4X100G PETIT POT CREME CARAMEL CRF ;Cde 50 col grp;00096724;SENAGRAL  
3023290236819;S21659;4X100G PETIT POT CREME CHOCOLAT    ;;00091653;LACTALIS  
3245412404405;348041;4X100G PETIT POT CREME PISTACHE CRF;Cde 50 col grp;00096724;SENAGRAL  
3023290236826;S21652;4X100G PETIT POT CREME VANILLE     ;;00091653;LACTALIS  
3270190216810;878275;4X100G PTIT POT CREM.CHOCO.CRF     ;Cde 50 col grp;00096724;SENAGRAL  
3270190216803;878300;4X100G PTIT POT CREM.VANIL.CRF     ;Cde 50 col grp;00096724;SENAGRAL  
3560070543182;S28365;8X100G CREME CARAMEL CRF           ;Cde 25 col grp;00091653;LACTALIS  
5060023970198;472718;2X100G FONDANT A COEUR GU          ;;00088642;LOGIDIS FR
3184670001547;S16537;2X110G CARRE FONDANT CHOCOLAT      ;Cde 35 Kg grp;00085138;RIANS     
3270190204367;121470;4X100G ILES FLOTTANTES CRF         ;;00088642;LOGIDIS FR
8003938001622;S26136;2X90G PROFITEROLES                 ;Cde 50 col grp;00091657;SCHOEPFER 
8003938000700;S26144;450G PROFITEROLES                  ;Cde 50 col grp;00091657;SCHOEPFER 
3023290456538;205064;4X90G PROFITEROLES CHOCO.LAITIERE  ;Cde 25 col grp;00091653;LACTALIS  
8003938004531;S67534;500G PROFITEROLES CHOCOLAT PAST    ;Cde 50 col grp;00091657;SCHOEPFER 
3560070541270;S39965;90G PROFITEROLE CUILLERE CRF       ;Cde 50 col grp;00091657;SCHOEPFER 
3023290600023;665151;12X125G FRT PATIS.PAN.LA LAIT.     ;;00088642;LOGIDIS FR
3184670005224;403301;170G COULIS FRAISE&FRAISE BOIS     ;Cde 35 Kg grp;00085138;RIANS     
3184670007808;424468;2X100G CREME BRULEE NAT RIANS      ;Cde 35 Kg grp;00085138;RIANS     
8003938001882;S26139;2X120G BABA RHUM                   ;Cde 50 col grp;00091657;SCHOEPFER 
3245412404474;S28684;2X150G BABA RHUM CRF               ;Cde 25 col grp;00091653;LACTALIS  
3560070501618;033956;2X75G GATEAU D EVE CRF SEL         ;;00088642;LOGIDIS FR
3560070501649;033943;2X80G GATEAU D ADAM CRFSEL         ;;00088642;LOGIDIS FR
3560070607198;813376;2X80G TARTE CITRON CRF SEL         ;;00088642;LOGIDIS FR
3184670006306;592829;2X90G L ONCTIEUX SPECULOS RIAN     ;;00088642;LOGIDIS FR
3023290643488;529805;4X85G PETITS CLAFOUTIS CERISE LAITI;Cde 25 col grp;00091653;LACTALIS  
3184670004425;061183;650G CONFITURE DE LAIT             ;Cde 35 Kg grp;00085138;RIANS     
3184670004357;801285;650G CONFITURE LAIT SEL DE GUERANDE;Cde 35 Kg grp;00085138;RIANS     
3184670004173;062059;650G CONFITURE LAIT SPECULOOS      ;Cde 35 Kg grp;00085138;RIANS     
3023290165782;181153;6X100G FLANBY VANILLE CARAMEL      ;;00088642;LOGIDIS FR
5060023975230;818335;90G CHEESECAKE CITRON FRU          ;;00000064;CARPIQUET 
3560070540976;868924;100G VERRINE CITRON CRF SELECT     ;;00071753;COMBS     
8003938006153;S67529;180G BONTA DIVINA CAFE             ;Cde 50 col grp;00091657;SCHOEPFER 
8003938006146;S67528;180G BONTA DIVINA CHOCOLAT         ;Cde 50 col grp;00091657;SCHOEPFER 
8003938006160;S67530;180G BONTA DIVINA VANILLE          ;Cde 50 col grp;00091657;SCHOEPFER 
8003938006481;S67531;190G BONTA DIVINA FORET NOIRE      ;Cde 50 col grp;00091657;SCHOEPFER 
3560070885169;S69782;200G TIRAMISU FRAMBOISE CRF        ;Cde 50 col grp;00091657;SCHOEPFER 
7617014164715;S48987;230G CAFE PAB CARAMEL              ;Cde grp 50kg;00008628;MIFROMA   
7617014164487;S48981;230G CAFE PAB CLASSIC ESPRESSO     ;Cde grp 50kg;00008628;MIFROMA   
7617014164647;S48982;230G CAFE PAB DOUBLE FAT DOUBLE CRM;Cde grp 50kg;00008628;MIFROMA   
7617014164692;S48986;230G CAFE PAB EXTRA SONG DBLE ESPRE;Cde grp 50kg;00008628;MIFROMA   
3560070695362;S39969;2X100G TIRAMISU SPECULOOS CRF      ;Cde 50 col grp;00091657;SCHOEPFER 
8003938001714;S26138;2X120G PANNA COTTA CARAMELLO       ;Cde 50 col grp;00091657;SCHOEPFER 
3560070816415;S45244;2X120G PANNA COTTA FRAMBOISE CRF   ;Cde 50 col grp;00091657;SCHOEPFER 
8003938001646;S26135;2X90G CAPPUCCINO                   ;Cde 50 col grp;00091657;SCHOEPFER 
8003938001684;S26137;2X90G DOLCE LIMONE                 ;Cde 50 col grp;00091657;SCHOEPFER 
8003938001660;S26134;2X90G TARTUFO                      ;Cde 50 col grp;00091657;SCHOEPFER 
8003938001608;S26133;2X90G TIRAMISU                     ;Cde 50 col grp;00091657;SCHOEPFER 
8003938002285;S99920;4DT1 GRT CAPUCCINO                 ;Cde 50 col grp;00091657;SCHOEPFER 
8003938002261;S99921;4DT1GRT TIRAMISU                   ;Cde 50 col grp;00091657;SCHOEPFER 
3033490613983;802564;4X120G FROM STRACCIATELLA JOCK     ;;00088642;LOGIDIS FR
3245414658769;845865;4X90G TIRAMISU CARREFOUR           ;;00088642;LOGIDIS FR
8003938004562;S67535;500G CREME DESSERT CITRON PAST     ;Cde 50 col grp;00091657;SCHOEPFER 
8003938000649;S26143;500G TIRAMISU                      ;Cde 50 col grp;00091657;SCHOEPFER 
8003938004555;S67532;500G TIRAMISU SPECULOOS PAST.      ;Cde 50 col grp;00091657;SCHOEPFER 
3023290720721;S86330;228G FEUILLE MOUSSE CERISE LA LAITI;;00091653;LACTALIS  
3023290719718;S86329;230G FEUILLE MOUSSE ORANGE LA LAITI;;00091653;LACTALIS  
3023290009147;S98460;4X11,5G MARONSUIS LA LAITIERE      ;;00091653;LACTALIS  
3023290419793;468653;4X12CL FEUILLETE MOUSSE MENTHE     ;Cde 25 col grp;00091653;LACTALIS  
3023290009024;S98463;4X12CL MOUSSE CARAMEL BEURR.SALE   ;;00091653;LACTALIS  
3245412730535;664412;4X12CL MOUSSE CHOCO LAIT CRF       ;Cde 50 col grp;00096724;SENAGRAL  
3245412730627;664440;4X12CL MOUSSE CHOCO NOIR CRF       ;Cde 50 col grp;00096724;SENAGRAL  
3023290630990;783883;4X12CL SECRET MOUS.CAFE            ;Cde 25 col grp;00091653;LACTALIS  
3023290009086;S98462;4X12CL SECRET MOUS.CHOCO NOIR      ;;00091653;LACTALIS  
3023290009116;S98464;4X12CL SECRET MOUSS.CITRON MERING. ;;00091653;LACTALIS  
3023290009055;S98461;4X12CL SECRET MOUSSE CHOCOLAT LAIT ;;00091653;LACTALIS  
3608580765684;909942;4X50G MOUSSE CHOCO LT B.MAMAN      ;;00088642;LOGIDIS FR
3608580765653;909965;4X50G MOUSSE CHOCOLAT B.MAMAN      ;;00088642;LOGIDIS FR
3023290234518;S76486;4X57G  FEUILLETE MOUSSE CHOCOLAT   ;;00091653;LACTALIS  
3023290234501;S76487;4X57G  FEUILLETE MOUSSE VANILLE    ;;00091653;LACTALIS  
3023290633687;228163;4X90G CRAQUANT & FONDANT CHOCO LAIT;Cde 25 col grp;00091653;LACTALIS  
3023290633724;228126;4X90G CRAQUANT & FONDANT VANILLE LA;Cde 25 col grp;00091653;LACTALIS  
3023290230183;S74773;59GX4 MOUSSE DUO CHOCOLAT BLANC    ;;00091653;LACTALIS  
3023290112960;S74775;59GX4 MOUSSE DUO CHOCOLAT CARAMEL  ;;00091653;LACTALIS  
3560070971183;S02046;6X40G PETITE MOUSSE CHOCOLAT       ;;00091653;LACTALIS  
3560070530090;642473;70G MOUSSE CHOCOLAT CRFD           ;;00025092;NOVANDIE  
3245412730566;095732;8X60G MOUSSE CHOCO NR/LT CRF       ;Cde 50 col grp;00096724;SENAGRAL  
4002971266207;155605;200G LIEGEOIS CHOCOLAT PP          ;;00088642;LOGIDIS FR
3270190216780;T15613;4X80G MOUSSE LIEGEOISE CAFE CRF    ;;00025092;NOVANDIE  
3560070355075;024670;4X80G MOUSSE LIEGEOISE MARRON CRF  ;;00025092;NOVANDIE  
3270190216797;T15612;4X80G MOUSSE LIEGOISE CHOCO CRF    ;;00025092;NOVANDIE  
3023292259014;428883;4X90G MOUSSE LIEGEOISE CHOCO NESTLE;Cde 25 col grp;00091653;LACTALIS  
3023290115046;S74778;100GX4 VIENNOIS BANANA SPLIT       ;;00091653;LACTALIS  
3023290419892;S74777;100GX4 VIENNOIS POIRE BELLE HELENE ;;00091653;LACTALIS  
3023290170076;S55762;12X100G LE VIENNOIS CHOCOLAT       ;;00091653;LACTALIS  
3560070698202;S33867;12X100G LIEGEOIS CHOCOLAT CARREFOUR;Cde 5 colis ;00091653;LACTALIS  
3023290115145;S86331;400G VIENNOIS FOUETTE CHOCO/CREM VA;;00091653;LACTALIS  
3023290170090;S55763;4X100G LE VIENNOIS CAFE            ;;00091653;LACTALIS  
3023290170069;S55760;4X100G LE VIENNOIS CHOCOLAT        ;;00091653;LACTALIS  
3245413812261;S28362;4X100G LIEGEOIS CAFE CRF           ;Cde 5 colis ;00091653;LACTALIS  
3245413812292;S28315;4X100G LIEGEOIS CHOCOLAT CARREFOUR ;Cde 5 colis ;00091653;LACTALIS  
3245413812322;S28361;4X100G LIEGEOIS VANILLE CARREFOUR  ;Cde 5 colis ;00091653;LACTALIS  
3023290170106;591333;8X100G 4CHOCO/4CAFE VIENNOIS       ;;00088642;LOGIDIS FR
3245411640903;S28293;8X100G LIEGEOIS CAFE CRF           ;Cde 5 colis ;00091653;LACTALIS  
3245413812254;045464;8X100G LIEGEOIS CHOCO/CAFE CRF     ;;00088642;LOGIDIS FR
3245411640972;S28360;8X100G LIEGEOIS VANILLE/CARAMEL CRF;Cde 5 colis ;00091653;LACTALIS  
3280245800307;S74743;2X100G CREME BREBIS CHOCOLAT       ;Cde 50 col grp;00097223;PETIT BASQ
3280249903301;S86339;2X125G VELOUTE BREBIS FRAMBOISE    ;Cde 50 col grp;00097223;PETIT BASQ
3280249903400;S86340;2X125G VELOUTE BREBIS PECHE/ABRICOT;Cde 50 col grp;00097223;PETIT BASQ
3280249801201;603679;2X125G YAOURT BREBI.LI.CHATAIG     ;Cde 50 col grp;00097223;PETIT BASQ
3560070716838;669856;2X125G YAOURT BREBIS BIO CRF NATURE;Cde 50 col grp;00097223;PETIT BASQ
3280240041200;S86338;2X125G YAOURT BREBIS CERISE NOIRE  ;Cde 50 col grp;00097223;PETIT BASQ
3023290102640;S49213;2X125G YAOURT BREBIS FR.RGE PV     ;;00091653;LACTALIS  
3280249800501;S67545;2X125G YAOURT BREBIS FRAMB0% MG    ;Cde 50 col grp;00097223;PETIT BASQ
3280249800402;S67546;2X125G YAOURT BREBIS VANILLE 0% MG ;Cde 50 col grp;00097223;PETIT BASQ
3560071008284;S88918;2X125G YAOURT BREBIS VANILLES CRF  ;Cde 50 col grp;00097223;PETIT BASQ
3280249800105;S27447;2X125G YAOURT DE BREBIS CITRON     ;Cde 50 col grp;00097223;PETIT BASQ
3280249801003;S27450;2X125G YAOURT DE BREBIS FRUIT RGE  ;Cde 50 col grp;00097223;PETIT BASQ
3280249800013;S76555;2X125G YAOURT DE BREBIS NATURE PB  ;;00097223;PETIT BASQ
3280249800204;S27446;2X125G YAOURT DE BREBIS VANILLE    ;Cde 50 col grp;00097223;PETIT BASQ
3023290102633;S49212;2X125G YAOURT NATURE BREBIS PV     ;;00091653;LACTALIS  
3273220540855;620173;2X125G YRT CHEVRE NAT.BIO VRAI     ;;00088642;LOGIDIS FR
3280240000030;427772;2X125G YT CAILLE BREBIS NATURE     ;;00088642;LOGIDIS FR
3280245091002;S88916;2X140G RIZ AU LAIT BREBIS BIO      ;Cde 50 col grp;00097223;PETIT BASQ
3280245001001;S27455;2X140G SEMOULE LAIT BREBIS NATURE  ;Cde 50 col grp;00097223;PETIT BASQ
3280245000004;S27454;2X150G RIZ AU LAIT BREBIS NATURE   ;Cde 50 col grp;00097223;PETIT BASQ
3280249100014;S27453;2X150G YAOURT A LA GRECQUE BREBIS  ;Cde 50 col grp;00097223;PETIT BASQ
3245413527134;889052;2X90G COEUR FONDANT CHOCOLAT CRF   ;Cde 50 col grp;00097223;PETIT BASQ
3280246001000;S74742;2X90G FONDANT CHOCOLAT             ;Cde 50 col grp;00097223;PETIT BASQ
3280241101408;S86337;4X100G DOUCEUR BREBIS COCO         ;Cde 50 col grp;00097223;PETIT BASQ
3280241101101;S67544;4X100G DOUCEUR DE BREBIS CITRON    ;Cde 50 col grp;00097223;PETIT BASQ
3280241101002;S67543;4X100G DOUCEUR DE BREBIS NATURE    ;Cde 50 col grp;00097223;PETIT BASQ
3560070871575;S02014;4X150G YAOURT GREC PECHE/PASSION CR;;00091653;LACTALIS  
3270190024446;522800;4X125G CREME DESSERT CAFE CRF      ;Cde 50 col grp;00096724;SENAGRAL  
3270190024439;522798;4X125G CREME DESSERT CARAMEL CRF   ;Cde 50 col grp;00096724;SENAGRAL  
3270190023135;522796;4X125G CREME DESSERT CHOCO.CRF     ;Cde 50 col grp;00096724;SENAGRAL  
3560070133055;131659;4X125G CREME DESSERT PISTACH.CRF   ;Cde 50 col grp;00096724;SENAGRAL  
3270190023128;522797;4X125G CREME DESSERT VANILLE CRF   ;Cde 50 col grp;00096724;SENAGRAL  
3451790755279;S93409;4X125G CREMEUX ET ONCTUEUX         ;Cde 300 kg;00099203;ELVIR     
3033490143589;119427;6X70G PTITE DANETTE CHOCO LAIT     ;;00088642;LOGIDIS FR
3560070541423;869341;4X117G CREME DES.CHOCO/PEPITES CRF ;Cde 50 col grp;00096724;SENAGRAL  
3033491012020;182992;4X117G DANETTE POP CHOC/BILLES     ;;00088642;LOGIDIS FR
3023290797174;S49210;4X70G CREME DESSERT AFTER EIGHT    ;Cde 25 col grp;00091653;LACTALIS  
3023291169031;420660;8X125G SVELT.FERM.FOND.SAV.VAN     ;;00088642;LOGIDIS FR
3463342712753;S87334;125GX12 Y.SNACKING FR JAUNE 4X3 ARO;Cde grp 50kg;00008628;MIFROMA   
3463342712746;S87333;125GX12 Y.SNACKING FR ROUGE 4X3 ARO;Cde grp 50kg;00008628;MIFROMA   
7615600715075;S77324;225G Y.BAIKO PG+CUP CHOCO MIX      ;Cde grp 50kg;00008628;MIFROMA   
7616600715089;S77327;225G Y.BAIKO PG+CUP FRT ROUGES MIX ;Cde grp 50kg;00008628;MIFROMA   
7616600715096;S77326;225G Y.BAIKO PG+CUP NOIX PECAN MIX ;Cde grp 50kg;00008628;MIFROMA   
7616600712705;T92129;2X125G Y. EXCELLENCE CARAMEL       ;Cde grp 50kg;00008628;MIFROMA   
7616600712736;S49418;2X125G Y.EXCELLENCE CERISE         ;Cde grp 50kg;00008628;MIFROMA   
7616600712699;T92126;2X125G Y.EXCELLENCE FRAMBOISE      ;Cde grp 50kg;00008628;MIFROMA   
7616600712712;T92128;2X125G Y.EXCELLENCE TRUFFE         ;Cde grp 50kg;00008628;MIFROMA   
3456770626303;904189;2X150G CR.GOURMANDE AMANDES        ;;00088642;LOGIDIS FR
3177630361003;903873;2X150G Y.GOURMAND FRAISES NOVA     ;;00088642;LOGIDIS FR
3456770316105;903872;2X150G Y.GOURMAND NOIX COCO NOVA   ;;00088642;LOGIDIS FR
3177630361034;904132;2X150G Y.GOURMAND PECHE.R.NOVA     ;;00088642;LOGIDIS FR
3279231182008;016813;2X160G YAOURT MARRON FERMIERE      ;;00088642;LOGIDIS FR
3279231183005;019425;2X160G YRT MUR/MYRT FERMIERE       ;;00088642;LOGIDIS FR
5060023974189;326766;2X65G GU MOELLEUX AU CHOCOLAT      ;;00088642;LOGIDIS FR
3033491011993;169011;4X120G DANETTE POP CHOCO MAGIX     ;;00088642;LOGIDIS FR
3033491012013;169019;4X120G DANETTE POP VANI-CARAM.     ;;00088642;LOGIDIS FR
3463342715419;S48996;4X125G Y.BAIKO BRASSE FRAISE/FRAMB ;Cde grp 50kg;00008628;MIFROMA   
3463342715402;S48995;4X125G Y.BAIKO BRASSE MYRTILLE     ;Cde grp 50kg;00008628;MIFROMA   
3463342715396;S48994;4X125G Y.BAIKO BRASSE VANILLE      ;Cde grp 50kg;00008628;MIFROMA   
3463342719813;S96386;6X150G BAIKO BRASSE NATURE         ;Cde grp 50kg;00008628;MIFROMA   
3451790188695;S84720;125GX4 MON GREC FRAMBOIS           ;Cde 300 kg;00099203;ELVIR     
3451790188831;S84722;125GX4 MON GREC MIEL               ;Cde 300 kg;00099203;ELVIR     
3451790188718;S84718;125GX4 MON GREC NATURE             ;Cde 300 kg;00099203;ELVIR     
3033490858674;064716;12X125 GERVAIS YAOURT RIGO         ;;00088642;LOGIDIS FR
5201054015360;S60701;170G YAOURT GREC NATURE TOTAL      ;Cde 100 kg;00097030;CHIRAG    
3453190000003;S60699;1KG YAOURT GREC NATUREL LYNOS      ;Cde 100 kg;00097030;CHIRAG    
3273220540015;350031;2X125G YRT BREBIS NAT.BIO VRAI     ;;00088642;LOGIDIS FR
3279231149001;527001;2X140G YAOURT VANILLE POT GRES     ;;00088642;LOGIDIS FR
3023290400333;920283;4X120G YAOURT FRAISE SMARTIES      ;Cde 25 col grp;00091653;LACTALIS  
3023290400326;920286;4X120G YAOURT VANILLE SMARTIES     ;Cde 25 col grp;00091653;LACTALIS  
3245412905476;269637;4X125G YAOURT & CRE STACCIATELLA CR;;00025092;NOVANDIE  
3273220530375;349953;4X125G YRT NATURE 0% VRAI          ;;00088642;LOGIDIS FR
3560070443475;917246;4X150G YT GREC S/LIT FT RG CRF     ;;00088642;LOGIDIS FR
3023290401101;S13277;4X80G YAOURT NESQUICK GO!          ;Cde 25 col grp;00091653;LACTALIS  
3023290114933;S49217;4X90G LA LAITIERE NEIGE DE LAIT CIT;Cde 25 col grp;00091653;LACTALIS  
3023290114940;S49218;4X90G LA LAITIERE NEIGE DE LAIT FRA;Cde 25 col grp;00091653;LACTALIS  
3023290797334;S49224;4X90G LA LAITIERE NEIGE DE LAIT NAT;Cde 25 col grp;00091653;LACTALIS  
3453190000010;S60700;500G YAOURT GREC NATURE LYNOS      ;Cde 100 kg;00097030;CHIRAG    
3329770058866;531347;8X125G SLA PERL ARO VAN YOPLAI     ;;00088642;LOGIDIS FR
3384079071114;S86230;130G YAOURT ENTIER NATURE          ;;00097502;FERME     
3560070449798;656170;2X125G YAOURT BREBIS NATURE CRF    ;Cde 50 col grp;00088642;LOGIDIS FR
3329770058699;523631;4X125G PERLE DE LAIT NATURE        ;;00088642;LOGIDIS FR
3560070847945;S98774;4X125G YAOURT NATURE 0% CRF        ;Cde 50 col grp;00096724;SENAGRAL  
3023291122005;422739;4X150G YAOURT A LA GRECQ.NATUR     ;Cde 25 col grp;00091653;LACTALIS  
3329770040946;278489;8X125G CALIN + NATURE YOPLAIT      ;;00088642;LOGIDIS FR
3270190024309;994749;4X125G YAOURT NATURE CRF           ;;00088642;LOGIDIS FR
3560070842599;S82655;4X125G YAOURT NATURE POT VERRE CRF ;Cde 60 UC mini;00091699;MALO      
3278692363148;423492;4X125G YAOURT NATURE PV            ;Cde 60 UC mini;00091699;MALO      
3023290234860;S78080;4X125G YAOURT NATURE PV LAITIERE   ;;00091653;LACTALIS  
3023290101995;S49209;8X125G YAOURT PANACHE PV LAITIER   ;Cde 25 col grp;00091653;LACTALIS  
3384079071145;S86232;130G YAOURT ENTIER VANILLE         ;;00097502;FERME     
3279231145003;428135;140G YAOURT VANILLE POT GRES       ;;00088642;LOGIDIS FR
3560070842506;S82651;4X125G YAOURT VANILLE POT VERRE CRF;Cde 60 UC mini;00091699;MALO      
3278692363353;T47356;4X125G YAOURT VANILLE PV           ;Cde 486 UC mini;00091699;MALO      
3023290234853;S12934;4X125G YAOURT VANILLE PV LAITIERE  ;;00091653;LACTALIS  
3278692363254;425768;4X125G YAOURT VANILLE PV MALO      ;Cde 60 UC mini;00091699;MALO      
3270190021445;T15490;8X125G YAOURT VANILLE  PV CRF      ;Cde 243 UC mini;00091699;MALO      
3278692363285;T04882;4X125G YAOURT ANANAS PV MALO       ;Cde 60 UC mini;00091699;MALO      
3560070842568;S82659;4X125G YAOURT CITRON POT VERRE CRF ;Cde 60 UC mini;00091699;MALO      
3278692363179;425767;4X125G YAOURT CITRON PV MALO       ;Cde 60 UC mini;00091699;MALO      
3560070842537;S82656;4X125G YAOURT COCO POT VERRE CRF   ;Cde 60 UC mini;00091699;MALO      
3278692363261;S36975;4X125G YAOURT COCO PV MALO         ;Cde 60 UC mini;00091699;MALO      
3278692500147;S84170;4X125G YAOURT FRAMBOISE PV MALO    ;Cde 60 UC mini;00091699;MALO      
3278692363216;S67476;4X125G YAOURT GOYAVE POT VERRE     ;Cde 60 UC mini;00091699;MALO      
3278692363339;T44401;4X125G YAOURT GRENADINE PV MALO    ;Cde 60 UC mini;00091699;MALO      
3023290101964;S12936;4X125G YAOURT PV CITRON LA LAITIERE;;00091653;LACTALIS  
3278692500208;S02078;4X125G YAOURT SAISON PV            ;;00091699;MALO      
3278692500048;S72316;8X125G YAOURT PANACHES             ;Cde 60 UC mini;00091699;MALO      
3270190023814;S23979;8X125G YAOURT BRASSE NATURE CRF    ;;00091816;YEO       
3270190025986;522603;8X125G YAOURT BRASSE PULPE CRF     ;;00025092;NOVANDIE  
3033490916800;369478;12X50G GERVAIS PANACHE             ;;00088642;LOGIDIS FR
3384079071015;S86226;130G YAOURT ENTIER ABRICOT         ;;00097502;FERME     
3384079073033;S86231;130G YAOURT ENTIER CARAMEL B SALE  ;;00097502;FERME     
3384079071053;S86227;130G YAOURT ENTIER CITRON          ;;00097502;FERME     
3384079071084;S86228;130G YAOURT ENTIER FRAISE          ;;00097502;FERME     
3384079071077;S86229;130G YAOURT ENTIER FRAMBOISE       ;;00097502;FERME     
3329770055612;662514;16X125G PANIER FRUITS PANACHE      ;;00088642;LOGIDIS FR
3384079201016;S86233;180G YAOURT ENTIER EXPORT ABRICOT  ;;00097502;FERME     
3384079201085;S86237;180G YAOURT ENTIER EXPORT CITRON   ;;00097502;FERME     
3384079201092;S86238;180G YAOURT ENTIER EXPORT FRAISE   ;;00097502;FERME     
3384079201146;S86239;180G YAOURT ENTIER EXPORT MYRTILLE ;;00097502;FERME     
3384079201191;S86240;180G YAOURT ENTIER EXPORT RHUBARBE ;;00097502;FERME     
3279231187003;696640;2X160G Y CERISE LAIT FERMIERE      ;;00088642;LOGIDIS FR
3560071004712;S86343;4X100G YAOURT ANANAS/POM/PASSION   ;;00091816;YEO       
3560070698592;495941;4X125G BIFIDUS VANILLE CRF         ;;00088642;LOGIDIS FR
3560070971664;S86344;4X125G YA BIO CERISE GRIOT.CRF     ;;00091816;YEO       
3560071005108;S86341;4X125G YAOURT AUX FRUITS NOIX CRF  ;;00091816;YEO       
3560071005689;S86342;4X125G YAOURT MORCEAUX FRUIT COCO  ;;00091816;YEO       
3033490174408;163984;6X100G GERVAIS FR/FRAMB/ABRIC.     ;;00088642;LOGIDIS FR
3463342712777;S87332;1X125 Y.BAIKO PANACHE FR JAUNE CLAS;Cde grp 50kg;00008628;MIFROMA   
3463342712760;S87331;1X125G Y.BAIKO PANACHE FR RGE CLASS;Cde grp 50kg;00008628;MIFROMA   
3463342712791;S87329;1X125G YAOURT BAIKO CLASSIC FRAISE ;Cde grp 50kg;00008628;MIFROMA   
3463342712784;S87330;1X125G YAOURT BAIKO CLASSIC FRAMBOI;Cde grp 50kg;00008628;MIFROMA   
3463342714238;S15680;2X125G Y.BAIKO CLASSIC ABRICOT     ;Cde grp 50kg;00008628;MIFROMA   
3463342714214;S15678;2X125G Y.BAIKO CLASSIC FRAMBOISE   ;Cde grp 50kg;00008628;MIFROMA   
3463342714221;S15679;2X125G Y.BAIKO CLASSIC MYRTILLE    ;Cde grp 50kg;00008628;MIFROMA   
3329770050402;321448;4X100G YOPA 0% LIT FRAISES YOP     ;;00088642;LOGIDIS FR
3329770050389;321379;4X100G YOPA FRT ROUGE YOPL         ;;00088642;LOGIDIS FR
3463342715464;S48992;4X125G BAIKO BI COUCHE ABRICOT/PECH;Cde grp 50kg;00008628;MIFROMA   
3463342715457;S48990;4X125G BAIKO BI COUCHE FRAMB/MYRTIL;Cde grp 50kg;00008628;MIFROMA   
3463342709319;T92139;6X125G YT BAIKO ENTIER CORBEILLE FR;Cde grp 50kg;00008628;MIFROMA   
3463342709302;T92138;6X125G YT BAIKO ENTIER FRUIT JAUNE ;Cde grp 50kg;00008628;MIFROMA   
3463342709296;T92137;6X125G YT BAIKO ENTIER FRUIT ROUGE ;Cde grp 50kg;00008628;MIFROMA   
3278699005218;S09510;250G YAOURT A BOIRE ABRICOT        ;Cde 60 UC mini;00091699;MALO      
