Gencod (EAN);IFLS;Désignation;Regle;Code. Fourn.;Fournisseur
3325420030534;S76451;240G FEUILLETE CHEVRE/EPINARD      ;Cde 40 kg grp;00097404;RANDY     
3325420071797;S76453;260G FEUILLETE SAUMON OSEILLE      ;Cde 40 kg grp;00097404;RANDY     
3325420030626;S76452;260G FEUILLETE TOMATE MOZZARELLA   ;Cde 40 kg grp;00097404;RANDY     
3325420060395;S76450;280G FEUILLETE JAMBON/CHAMPIGNON   ;Cde 40 kg grp;00097404;RANDY     
3267910893482;S35377;430G OEUFS DE CAILLES CUITS ECALES ;Cde 30 kg;00098653;CAILLOR   
3297910893489;S43412;480G OEUFS CUIT CAILLE X48 EN VERRI;Cde 30 kg;00098653;CAILLOR   
3327000000203;S41808;100G COPPA SV TRANCHEE             ;Cde grp 30 kg;00097268;FONTANA   
3327000000227;S41810;100G JAMBON SV TRANCHE             ;Cde grp 30 kg;00097268;FONTANA   
3327000000210;S41809;100G LONZO SV TRANCHES             ;Cde grp 30 kg;00097268;FONTANA   
3327000000272;S41835;100G POITRINE SV TRANCHES          ;Cde grp 30 kg;00097268;FONTANA   
3327000000234;S41811;100G SAUCISSON SV TRANCHES         ;Cde grp 30 kg;00097268;FONTANA   
3327000000401;S41841;120G ASSIETTE CORSE                ;Cde grp 30 kg;00097268;FONTANA   
3327000000296;S83077;250G FIGATELLU FONTANTA            ;Cde grp 30 kg;00097268;FONTANA   
3327000000333;S42181;250G SAUCISSON AU SANGLIER         ;Cde grp 30 kg;00097268;FONTANA   
3327000000302;S42180;250G SAUCISSON AUX HERBES          ;Cde grp 30 kg;00097268;FONTANA   
3327000000029;S41807;250G SAUCISSON DE PORC             ;Cde grp 30 kg;00097268;FONTANA   
3327000000173;S42183;300G COPPAS S/V MORCEAU            ;Cde grp 30 kg;00097268;FONTANA   
3327000000180;S42184;300G LONZO S/V MORCEAU             ;Cde grp 30 kg;00097268;FONTANA   
3327000000241;S42185;800G 1/4 JAMBON                    ;Cde grp 30 kg;00097268;FONTANA   
3273625812380;S25696;300G LANGUE PORC SCE PQ/PDT ECRASE ;Cde 60 Kg grop;00097087;COOPERL   
3273625812397;S25699;300G NOIX JOUE PORC/CHAMP/LARD GREN;Cde 60 Kg grop;00097087;COOPERL   
3560070803286;293895;300G PLT TAND.RIZ BAS.RAIS.CRF     ;;00088642;LOGIDIS FR
3067163610924;S35460;375G CASSOULET SAUCE FOIE GRAS     ;;00023788;DELPEYRAT 
3067163610931;S35467;375G JARRET DE PORC                ;;00023788;DELPEYRAT 
3067163610917;S35458;375G PINTADE CONFITE CHATAIGNE/GIRO;;00023788;DELPEYRAT 
8007303087204;T87835;1KG LASAGNE PLAQUE MENAGERE        ;Cde 20 col grop;00097017;AMBROSI   
3560070858309;599292;250G FEUILLE DE LASAGNE CRF        ;;00088642;LOGIDIS FR
8007303009206;S61422;250G LASAGNES                      ;Cde 20 col grop;00097017;AMBROSI   
3302742455023;S48198;300G BOX SAVOYARDE                 ;;00090472;FLEURY MI 
8420056146224;S12050;200G TORTILLA AUX LEGUMES          ;Cde 300 kg grp;00097080;EURO DELIC
8420056146026;S12049;200G TORTILLA OIGNON               ;Cde 300 kg grp;00097080;EURO DELIC
8420056146323;S12051;200G TORTILLA SERRANO              ;Cde 300 kg grp;00097080;EURO DELIC
