"AVENI","AVENI","1","ASP","","0.0","","1","LOG","AVENIR SERVICE SARL"
"04367","04367","1","IMPORT","","0.0","","1","LOG","LA PULPE SA"
"04466","04466","1","IMPORT","","0.0","","1","LOG","COVI SOLOGNE PERIGOR SA"
"04527","04527","1","IMPORT","","0.0","","1","LOG","PROPACK FRANCE"
"04536","04536","1","IMPORT","","0.0","","1","LOG","PROVA S.A"
"04537","04537","1","IMPORT","","0.0","","1","LOG","SYNTHEDIS S.A"
"04724","04724","1","IMPORT","","0.0","","1","LOG","BESTFOODS FRANCE"
"04738","04738","1","IMPORT","","0.0","","1","LOG","NATURALIM FRANCE-MIEL SA"
"05023","05023","1","IMPORT","","0.0","","1","LOG","MEO"
"05038","05038","1","IMPORT","","0.0","","1","LOG","EUROP SNACKS S.A"
"05093","05093","1","IMPORT","","0.0","","1","LOG","AMPAFRANCE"
"05122","05122","1","IMPORT","","0.0","","1","LOG","TEREOS"
"05128","05128","1","IMPORT","","0.0","","1","LOG","CPR HAUTS MONROUGE"
"05157","05157","1","IMPORT","","0.0","","1","LOG","SOLUCO EUROPE"
"05185","05185","1","IMPORT","","0.0","","1","LOG","BERNAT"
"05262","05262","1","IMPORT","","0.0","","1","LOG","CONTINENTAL FOODS"
"05291","05291","1","IMPORT","","0.0","","1","LOG","ITALO SUISSE FRANCE"
"05305","05305","1","IMPORT","","0.0","","1","LOG","BOUCHARD L'ESCAUT"
"05505","05505","1","IMPORT","","0.0","","1","LOG","BALLANTINES SA"
"05506","05506","1","IMPORT","","0.0","","1","LOG","GARCIA CARRION ESPAGNE S.A"
"05694","05694","1","IMPORT","","0.0","","1","LOG","SKALLI FORTANT DE FRANCE"
"05772","05772","1","IMPORT","","0.0","","1","LOG","BALCONI DOLCIARA"
"05773","05773","1","IMPORT","","0.0","","1","LOG","BONOMI"
"05805","05805","1","IMPORT","","0.0","","1","LOG","COMPAGNIE DES SAVEURS"
"05826","05826","1","IMPORT","","0.0","","1","LOG","ROXANE NORD"
"05851","05851","1","IMPORT","","0.0","","1","LOG","BONBONS DE FRANCE"
"05897","05897","1","IMPORT","","0.0","","1","LOG","VITAMONT SA"
"06193","06193","1","IMPORT","","0.0","","1","LOG","FIMCO"
"06203","06203","1","IMPORT","","0.0","","1","LOG","NEPTUNE DISTRIBUTION SNC"
"06231","06231","1","IMPORT","","0.0","","1","LOG","PILLSBURY FRANCE/THUIT HEBERT"
"06277","06277","1","IMPORT","","0.0","","1","LOG","NUTRITIONET SANTE"
"06312","06312","1","IMPORT","","0.0","","1","LOG","PUBLI EMBAL SA"
"06434","06434","1","IMPORT","","0.0","","1","LOG","EURO PARTENAIRES SARL"
"06443","06443","1","IMPORT","","0.0","","1","LOG","RIVAZUR CAKES"
"06446","06446","1","IMPORT","","0.0","","1","LOG","KRITER BRUT DE BRUT SA"
"06566","06566","1","IMPORT","","0.0","","1","LOG","CONS LANGUEDOCIENNE"
"06611","06611","1","IMPORT","","0.0","","1","LOG","BEZIERS CONSERVES"
"06696","06696","1","IMPORT","","0.0","","1","LOG","MERE POULARD BICUITS"
"06718","06718","1","IMPORT","","0.0","","1","LOG","POULT BISCUITERIE"
"06726","06726","1","IMPORT","","0.0","","1","LOG","MEYER SANSBOEUF SA"
"06729","06729","1","IMPORT","","0.0","","1","LOG","CLEMENT SA"
"06771","06771","1","IMPORT","","0.0","","1","LOG","COLOR SA"
"07010","07010","1","IMPORT","","0.0","","1","LOG","LACTALIS DELIS"
"07112","07112","1","IMPORT","","0.0","","1","LOG","HBS"
"07145","07145","1","IMPORT","","0.0","","1","LOG","JASOL SA"
"07168","07168","1","IMPORT","","0.0","","1","LOG","SOUP IDEALE SA"
"07189","07189","1","IMPORT","","0.0","","1","LOG","COVI S.A"
"07310","07310","1","IMPORT","","0.0","","1","LOG","LAITERIE ST DENIS DE L'HOTEL"
"07343","07343","1","IMPORT","","0.0","","1","LOG","COROOS"
"07358","07358","1","IMPORT","","0.0","","1","LOG","BISCUITERIE NANTAISE"
"07360","07360","1","IMPORT","","0.0","","1","LOG","BISCUITERIE NANTAISE"
"07362","07362","1","IMPORT","","0.0","","1","LOG","BIC"
"07511","07511","1","IMPORT","","0.0","","1","LOG","CIE DETERGENTS SAVON MARSEILLE"
"07565","07565","1","IMPORT","","0.0","","1","LOG","DEOFLOR SPA"
"07572","07572","1","IMPORT","","0.0","","1","LOG","BISCUITS ST GEORGES"
"07597","07597","1","IMPORT","","0.0","","1","LOG","PERSONNA INTERNATIONAL"
"07634","07634","1","IMPORT","","0.0","","1","LOG","DAUCY CGC CONSERV MORBIHANNAIS"
"07742","07742","1","IMPORT","","0.0","","1","LOG","MOINET VICHY SANTE"
"07824","07824","1","IMPORT","","0.0","","1","LOG","ELLIPSE SARL"
"07903","07903","1","IMPORT","","0.0","","1","LOG","BROSSARD FRANCE"
"07929","07929","1","IMPORT","","0.0","","1","LOG","DOMAINES DE LISTEL S.A"
"07949","07949","1","IMPORT","","0.0","","1","LOG","ONTEX SARL"
"08062","08062","1","IMPORT","","0.0","","1","LOG","BLOCH POTALUX"
"08064","08064","1","IMPORT","","0.0","","1","LOG","SOMAPRO"
"08072","08072","1","IMPORT","","0.0","","1","LOG","MAITRE PRUNILLE"
"08175","08175","1","IMPORT","","0.0","","1","LOG","DUCAMP SA"
"08217","08217","1","IMPORT","","0.0","","1","LOG","SCEA ST MARTIN DE CARRIGU"
"08223","08223","1","IMPORT","","0.0","","1","LOG","CODIET S.A"
"08280","08280","1","IMPORT","","0.0","","1","LOG","LANSON INTERNATIONAL"
"08291","08291","1","IMPORT","","0.0","","1","LOG","EPI INTERNATIONAL"
"08339","08339","1","IMPORT","","0.0","","1","LOG","C.S.R"
"08348","08348","1","IMPORT","","0.0","","1","LOG","CASTEL FRERES THIAIS"
"08413","08413","1","IMPORT","","0.0","","1","LOG","BENOIT SNC"
"08420","08420","1","IMPORT","","0.0","","1","LOG","NAUTILUS FODD"
"08428","08428","1","IMPORT","","0.0","","1","LOG","ORAPI EUROPE"
"08440","08440","1","IMPORT","","0.0","","1","LOG","VIGNERONS BEAUMES DE VENISE"
"08468","08468","1","IMPORT","","0.0","","1","LOG","IAN GRUPO ALIMENTARO"
"08470","08470","1","IMPORT","","0.0","","1","LOG","RIMON ""APPRO CACI"""
"08476","08476","1","IMPORT","","0.0","","1","LOG","ALBAAD""CACI"""
"08527","08527","1","IMPORT","","0.0","","1","LOG","CAVES DE PROVENCE/U.C.M.E"
"08580","08580","1","IMPORT","","0.0","","1","LOG","CONSERVAS NAPAL"
"08624","08624","1","IMPORT","","0.0","","1","LOG","GEORGELIN CONFISERIE SA"
"08696","08696","1","IMPORT","","0.0","","1","LOG","LOMCO S.A"
"08753","08753","1","IMPORT","","0.0","","1","LOG","SAINT LOUIS SUCRE"
"08756","08756","1","IMPORT","","0.0","","1","LOG","BONDUELLE"
"08782","08782","1","IMPORT","","0.0","","1","LOG","PROCTER ET GAMBLE"
"08783","08783","1","IMPORT","","0.0","","1","LOG","BARADAT GILBERT SA"
"08969","08969","1","IMPORT","","0.0","","1","LOG","LUHNS"
"09040","09040","1","IMPORT","","0.0","","1","LOG","MAXISEC"
"09079","09079","1","IMPORT","","0.0","","1","LOG","RIEGELEIN FRANCE"
"09123","09123","1","IMPORT","","0.0","","1","LOG","BEYER"
"09208","09208","1","IMPORT","","0.0","","1","LOG","VIF SAGENT"
"09210","09210","1","IMPORT","","0.0","","1","LOG","AUGUSTE CHRISTOPHE"
"09213","09213","1","IMPORT","","0.0","","1","LOG","SOMODI MODERNE"
"09275","09275","1","IMPORT","","0.0","","1","LOG","WILLIAM SAURIN"
"09292","09292","1","IMPORT","","0.0","","1","LOG","TRIBALLAT NOYAL SA"
"09310","09310","1","IMPORT","","0.0","","1","LOG","PRODUITS JOCKS SA"
"09472","09472","1","IMPORT","","0.0","","1","LOG","ETS BOYER-JAUBERT SAR OC"
"09721","09721","1","IMPORT","","0.0","","1","LOG","VANDEPUTTE"
"09781","09781","1","IMPORT","","0.0","","1","LOG","COMEXO SA"
"09809","09809","1","IMPORT","","0.0","","1","LOG","TRUFFIERES RABASSE"
"09834","09834","1","IMPORT","","0.0","","1","LOG","ECOFRANCE SA"
"09891","09891","1","IMPORT","","0.0","","1","LOG","MAGNIEN"
"09892","09892","1","IMPORT","","0.0","","1","LOG","ALTHO"
"09952","09952","1","IMPORT","","0.0","","1","LOG","COTON LEM"
"10055","10055","1","ASP","","0.0","","1","LOG","ETS GEORGES DE NEGRI"
"10065","10065","1","IMPORT","","0.0","","1","LOG","SOJINAL"
"10101","10101","1","IMPORT","","0.0","","1","LOG","A.S.N FRANCE SARL"
"10118","10118","1","IMPORT","","0.0","","1","LOG","MONSANTO CANDEREL"
"10171","10171","1","IMPORT","","0.0","","1","LOG","RAYNAL & ROQUELAURE SAP"
"10236","10236","1","IMPORT","","0.0","","1","LOG","BOIN CONFITURES"
"10259","10259","1","IMPORT","","0.0","","1","LOG","CALISSONAIX"
"10356","10356","1","IMPORT","","0.0","","1","LOG","BORGES"
"10364","10364","1","IMPORT","","0.0","","1","LOG","GRUPO RIBEREBRO"
"10453","10453","1","IMPORT","","0.0","","1","LOG","ACDIS"
