001S00270,S00270,222,SOF,,001
001S00302,S00302,222,SOF,,001
001S00311,S00311,222,SOF,,001
001S00336,S00336,222,SOF,,001
001S00339,S00339,222,SOF,,001
001S00352,S00352,222,SOF,,001
001S00374,S00374,222,SOF,,001
001S00388,S00388,222,SOF,,001
001S00389,S00389,222,SOF,,001
001S00391,S00391,222,SOF,,001
001S01848,S01848,222,SOF,,001
001S02007,S02007,222,SOF,,001
001S02236,S02236,222,SOF,,001
001S02600,S02600,222,SOF,,001
001S02631,S02631,222,SOF,,001
001S03162,S03162,222,SOF,,001
001S03178,S03178,222,SOF,,001
001S03205,S03205,222,SOF,,001
001S03206,S03206,222,SOF,,001
001S03209,S03209,222,SOF,,001
001S03210,S03210,222,SOF,,001
001S03212,S03212,222,SOF,,001
001S03281,S03281,222,SOF,,001
001S03326,S03326,222,SOF,,001
001S03327,S03327,222,SOF,,001
001S03467,S03467,222,SOF,,001
001S04575,S04575,222,SOF,,001
001S04805,S04805,222,SOF,,001
001S05348,S05348,222,SOF,,001
001S05427,S05427,222,SOF,,001
001S05915,S05915,222,SOF,,001
001S06084,S06084,222,SOF,,001
001S06532,S06532,222,SOF,,001
001S06707,S06707,222,SOF,,001
001S06712,S06712,222,SOF,,001
001S06859,S06859,222,SOF,,001
001S07040,S07040,222,SOF,,001
001S07068,S07068,222,SOF,,001
001S07353,S07353,222,SOF,,001
001S07583,S07583,222,SOF,,001
001S08857,S08857,222,SOF,,001
001S08858,S08858,222,SOF,,001
001S08861,S08861,222,SOF,,001
001S09182,S09182,222,SOF,,001
001S09379,S09379,222,SOF,,001
001S09560,S09560,222,SOF,,001
001S09977,S09977,222,SOF,,001
001S10137,S10137,222,SOF,,001
001S11472,S11472,222,SOF,,001
001S11496,S11496,222,SOF,,001
001S12230,S12230,222,SOF,,001
001S12331,S12331,222,SOF,,001
001S12800,S12800,222,SOF,,001
001S12816,S12816,222,SOF,,001
001S12900,S12900,222,SOF,,001
001S13051,S13051,222,SOF,,001
001S13052,S13052,222,SOF,,001
001S13053,S13053,222,SOF,,001
001S13231,S13231,222,SOF,,001
001S13285,S13285,222,SOF,,001
001S13287,S13287,222,SOF,,001
001S13351,S13351,222,SOF,,001
001S13637,S13637,222,SOF,,001
001S14161,S14161,222,SOF,,001
001S14510,S14510,222,SOF,,001
001S14513,S14513,222,SOF,,001
001S14821,S14821,222,SOF,,001
001S15613,S15613,222,SOF,,001
001S15822,S15822,222,SOF,,001
001S15981,S15981,222,SOF,,001
001S16648,S16648,222,SOF,,001
001S16916,S16916,222,SOF,,001
001S17056,S17056,222,SOF,,001
001S17057,S17057,222,SOF,,001
001S17352,S17352,222,SOF,,001
001S17374,S17374,222,SOF,,001
001S17572,S17572,222,SOF,,001
001S17929,S17929,222,SOF,,001
001S19664,S19664,222,SOF,,001
001S19700,S19700,222,SOF,,001
001S19774,S19774,222,SOF,,001
001S20081,S20081,222,SOF,,001
001S20207,S20207,222,SOF,,001
001S20349,S20349,222,SOF,,001
001S20587,S20587,222,SOF,,001
001S20984,S20984,222,SOF,,001
001S20989,S20989,222,SOF,,001
001S21001,S21001,222,SOF,,001
001S21006,S21006,222,SOF,,001
001S21204,S21204,222,SOF,,001
001S21206,S21206,222,SOF,,001
001S21207,S21207,222,SOF,,001
001S21226,S21226,222,SOF,,001
001S21233,S21233,222,SOF,,001
001S22076,S22076,222,SOF,,001
001S22107,S22107,222,SOF,,001
001S22108,S22108,222,SOF,,001
001S22179,S22179,222,SOF,,001
001S22243,S22243,222,SOF,,001
001S22413,S22413,222,SOF,,001
001S23104,S23104,222,SOF,,001
001S23105,S23105,222,SOF,,001
001S23130,S23130,222,SOF,,001
001S23132,S23132,222,SOF,,001
001S23704,S23704,222,SOF,,001
001S25001,S25001,222,SOF,,001
001S25002,S25002,222,SOF,,001
001S25003,S25003,222,SOF,,001
001S25004,S25004,222,SOF,,001
001S25005,S25005,222,SOF,,001
001S25006,S25006,222,SOF,,001
001S25007,S25007,222,SOF,,001
001S25008,S25008,222,SOF,,001
001S25009,S25009,222,SOF,,001
001S25010,S25010,222,SOF,,001
001S25011,S25011,222,SOF,,001
001S25012,S25012,222,SOF,,001
001S25013,S25013,222,SOF,,001
001S25014,S25014,222,SOF,,001
001S25015,S25015,222,SOF,,001
001S25016,S25016,222,SOF,,001
001S25017,S25017,222,SOF,,001
001S25331,S25331,222,SOF,,001
001S25332,S25332,222,SOF,,001
001S25458,S25458,222,SOF,,001
001S25459,S25459,222,SOF,,001
001S25606,S25606,222,SOF,,001
001S25679,S25679,222,SOF,,001
001S26504,S26504,222,SOF,,001
001S26539,S26539,222,SOF,,001
001S26543,S26543,222,SOF,,001
001S26846,S26846,222,SOF,,001
001S27317,S27317,222,SOF,,001
001S27324,S27324,222,SOF,,001
001S27536,S27536,222,SOF,,001
001S27537,S27537,222,SOF,,001
001S27539,S27539,222,SOF,,001
001S27541,S27541,222,SOF,,001
001S27542,S27542,222,SOF,,001
001S27839,S27839,222,SOF,,001
001S28108,S28108,222,SOF,,001
001S28737,S28737,222,SOF,,001
001S28810,S28810,222,SOF,,001
001S28870,S28870,222,SOF,,001
001S28871,S28871,222,SOF,,001
001S28886,S28886,222,SOF,,001
001S28889,S28889,222,SOF,,001
001S28891,S28891,222,SOF,,001
001S28893,S28893,222,SOF,,001
001S28895,S28895,222,SOF,,001
001S28896,S28896,222,SOF,,001
001S28897,S28897,222,SOF,,001
001S28898,S28898,222,SOF,,001
001S28899,S28899,222,SOF,,001
001S28900,S28900,222,SOF,,001
001S28901,S28901,222,SOF,,001
001S28904,S28904,222,SOF,,001
001S28906,S28906,222,SOF,,001
001S28909,S28909,222,SOF,,001
001S30002,S30002,222,SOF,,001
001S30003,S30003,222,SOF,,001
001S30004,S30004,222,SOF,,001
001S30215,S30215,222,SOF,,001
001S30259,S30259,222,SOF,,001
001S30282,S30282,222,SOF,,001
001S30286,S30286,222,SOF,,001
001S30500,S30500,222,SOF,,001
001S30502,S30502,222,SOF,,001
001S30504,S30504,222,SOF,,001
001S30507,S30507,222,SOF,,001
001S30509,S30509,222,SOF,,001
001S31007,S31007,222,SOF,,001
001S31117,S31117,222,SOF,,001
001S31934,S31934,222,SOF,,001
001S31936,S31936,222,SOF,,001
001S31938,S31938,222,SOF,,001
001S31939,S31939,222,SOF,,001
001S31979,S31979,222,SOF,,001
001S32718,S32718,222,SOF,,001
001S33290,S33290,222,SOF,,001
001S33291,S33291,222,SOF,,001
001S33871,S33871,222,SOF,,001
001S35824,S35824,222,SOF,,001
001S36619,S36619,222,SOF,,001
001S36644,S36644,222,SOF,,001
001S37718,S37718,222,SOF,,001
001S38135,S38135,222,SOF,,001
001S40119,S40119,222,SOF,,001
001S42343,S42343,222,SOF,,001
001S42864,S42864,222,SOF,,001
