"07929","07929","1","IMPORT","","0.0","","2","SOF","DOMAINES DE LISTEL SA."
"07949","07949","1","IMPORT","","0.0","","2","SOF","ONTEX SARL"
"08046","08046","1","IMPORT","","0.0","","2","SOF","BLANDIN M"
"08072","08072","1","IMPORT","","0.0","","2","SOF","MAITRE PRUNILLE"
"08175","08175","1","IMPORT","","0.0","","2","SOF","DUCAMP"
"08291","08291","1","IMPORT","","0.0","","2","SOF","EPI INTERNATIONAL"
"08339","08339","1","IMPORT","","0.0","","2","SOF","C.S.R PAMPRYL"
"08413","08413","1","IMPORT","","0.0","","2","SOF","BENOIT"
"08420","08420","1","IMPORT","","0.0","","2","SOF","NAUTILUS FOOD"
"08428","08428","1","IMPORT","","0.0","","2","SOF","ORAPI EUROPE"
"08468","08468","1","IMPORT","","0.0","","2","SOF","IAN GRUPO ALIMENTARO"
"08580","08580","1","IMPORT","","0.0","","2","SOF","CONSERVAS NAPAL"
"08753","08753","1","IMPORT","","0.0","","2","SOF","SAINT LOUIS SUCRE"
"08756","08756","1","IMPORT","","0.0","","2","SOF","BONDUELLE"
"08782","08782","1","IMPORT","","0.0","","2","SOF","PROCTER & GAMBLE"
"08783","08783","1","IMPORT","","0.0","","2","SOF","BARADAT GILBERT"
"08969","08969","1","IMPORT","","0.0","","2","SOF","LUHNS SARL"
"09079","09079","1","IMPORT","","0.0","","2","SOF","RIEGELEIN FRANCE"
"09123","09123","1","IMPORT","","0.0","","2","SOF","BEYER"
"09213","09213","1","IMPORT","","0.0","","2","SOF","SOMODI MODERNE"
"09275","09275","1","IMPORT","","0.0","","2","SOF","WILLIAM SAURIN"
"09310","09310","1","IMPORT","","0.0","","2","SOF","PRODUITS JOCKS SA"
"09721","09721","1","IMPORT","","0.0","","2","SOF","VANDEPUTTE"
"09781","09781","1","IMPORT","","0.0","","2","SOF","COMEXO"
"09834","09834","1","IMPORT","","0.0","","2","SOF","ECOFRANCE SA"
"09892","09892","1","IMPORT","","0.0","","2","SOF","ALTHO"
"10065","10065","1","IMPORT","","0.0","","2","SOF","SOJINAL"
"10171","10171","1","IMPORT","","0.0","","2","SOF","RAYNAL ET RAUQUELAURE SAP"
"10236","10236","1","IMPORT","","0.0","","2","SOF","BOIN CONFITURES"
"10259","10259","1","IMPORT","","0.0","","2","SOF","CALISSONAIX"
"10301","10301","1","IMPORT","","0.0","","2","SOF","FRESH FOOD VILLAGE SARL"
"10356","10356","1","IMPORT","","0.0","","2","SOF","BORGES"
"10364","10364","1","IMPORT","","0.0","","2","SOF","GRUPO RIBEREBRO"
"10608","10608","1","IMPORT","","0.0","","2","SOF","CADBURY FRANCE"
"10766","10766","1","IMPORT","","0.0","","2","SOF","POLY LINA"
"10785","10785","1","IMPORT","","0.0","","2","SOF","HERMES EDULCORANTS"
"10971","10971","1","IMPORT","","0.0","","2","SOF","NATRAZAHOR"
"10976","10976","1","IMPORT","","0.0","","2","SOF","CHOCOLATERIE FORET DES LOGES"
"11254","11254","1","IMPORT","","0.0","","2","SOF","POCO LOCO FRANCE SARL"
"11281","11281","1","IMPORT","","0.0","","2","SOF","PECH DE CLARY"
"11282","11282","1","IMPORT","","0.0","","2","SOF","SOS CUETARA"
"11378","11378","1","IMPORT","","0.0","","2","SOF","BABY DELICE"
"11469","11469","1","IMPORT","","0.0","","2","SOF","PRADE"
"11691","11691","1","IMPORT","","0.0","","2","SOF","PIGINO"
"11764","11764","1","IMPORT","","0.0","","2","SOF","ISABEL FRANCE"
"11913","11913","1","IMPORT","","0.0","","2","SOF","BUHLER FONTAINE"
"12095","12095","1","IMPORT","","0.0","","2","SOF","MAC ANI SA"
"12193","12193","1","IMPORT","","0.0","","2","SOF","ELYSEE COSMETIQUES"
"12214","12214","1","IMPORT","","0.0","","2","SOF","REFRESCO FRANCE"
"12321","12321","1","IMPORT","","0.0","","2","SOF","VRANKEN MONOPOLE"
"12330","12330","1","IMPORT","","0.0","","2","SOF","PAUWELLS SA"
"12348","12348","1","IMPORT","","0.0","","2","SOF","COVI PCA"
"12387","12387","1","IMPORT","","0.0","","2","SOF","KRUGER GMBH&CO KG"
"12416","12416","1","IMPORT","","0.0","","2","SOF","BONIQUET LABORATOIR S A"
"12419","12419","1","IMPORT","","0.0","","2","SOF","DIS PAR SARL"
"12508","12508","1","IMPORT","","0.0","","2","SOF","BIOFOURNIL"
"12593","12593","1","IMPORT","","0.0","","2","SOF","CEREAL GROUP"
"12681","12681","1","IMPORT","","0.0","","2","SOF","CHAGNOT GUY APICULTEUR S"
"12911","12911","1","IMPORT","","0.0","","2","SOF","GUYAUX"
"13004","13004","1","IMPORT","","0.0","","2","SOF","PEETERS FRANCE"
"13040","13040","1","IMPORT","","0.0","","2","SOF","SODIPAN"
"13148","13148","1","IMPORT","","0.0","","2","SOF","JACQUET PAINS"
"13333","13333","1","IMPORT","","0.0","","2","SOF","SABAROT"
"13354","13354","1","IMPORT","","0.0","","2","SOF","CHAMPENOISE DES GRANDS VINS"
"13547","13547","1","IMPORT","","0.0","","2","SOF","BARRY CALLEBAUT FRANCE"
"13554","13554","1","IMPORT","","0.0","","2","SOF","SEVENDAY SA- VOIR 80195"
"13561","13561","1","IMPORT","","0.0","","2","SOF","PROD'HYGIA"
"13562","13562","1","IMPORT","","0.0","","2","SOF","EMIG SAS"
"13590","13590","1","IMPORT","","0.0","","2","SOF","CANTREAU"
"13593","13593","1","IMPORT","","0.0","","2","SOF","CAGEC SA CIE APICOLE"
"13595","13595","1","IMPORT","","0.0","","2","SOF","PREMIER BRAND'S FRANCE"
"13642","13642","1","IMPORT","","0.0","","2","SOF","CANTALOU"
"13748","13748","1","IMPORT","","0.0","","2","SOF","IGEPAK"
"13843","13843","1","IMPORT","","0.0","","2","SOF","METTLER PAPIER"
"13958","13958","1","IMPORT","","0.0","","2","SOF","BRABO FRANCE"
"14172","14172","1","IMPORT","","0.0","","2","SOF","PETFOOD PLUS"
"14280","14280","1","IMPORT","","0.0","","2","SOF","PHILIPS ECLAIRAGE"
"14420","14420","1","IMPORT","","0.0","","2","SOF","REYES APPRO CACI"
"14454","14454","1","IMPORT","","0.0","","2","SOF","KAPA REYNOLDS SA"
"14475","14475","1","IMPORT","","0.0","","2","SOF","PASQUIER BRIOCHE"
"14505","14505","1","IMPORT","","0.0","","2","SOF","OSPELT HERBERT DIVISION"
"14763","14763","1","IMPORT","","0.0","","2","SOF","RONGIER ENTREPRISE"
"14864","14864","1","IMPORT","","0.0","","2","SOF","PATISSERIE GOURMANDE"
"15494","15494","1","IMPORT","","0.0","","2","SOF","IMPACT"
"15511","15511","1","IMPORT","","0.0","","2","SOF","JACOBY EMILE SARL"
"15635","15635","1","IMPORT","","0.0","","2","SOF","T T PLAST"
"15688","15688","1","IMPORT","","0.0","","2","SOF","CAMPBELL FRANCE"
"15779","15779","1","IMPORT","","0.0","","2","SOF","INPRALSA"
"15892","15892","1","IMPORT","","0.0","","2","SOF","SEGAFREDO ZANETTI"
"16055","16055","1","IMPORT","","0.0","","2","SOF","NUTKAO SRL"
"16068","16068","1","IMPORT","","0.0","","2","SOF","VANIA EXPANSION"
"16104","16104","1","IMPORT","","0.0","","2","SOF","WILHEM RUSS GMBH & CO"
"16142","16142","1","IMPORT","","0.0","","2","SOF","CHANCERELLE WENCESLAS"
"16281","16281","1","IMPORT","","0.0","","2","SOF","CHRIST SA"
"16376","16376","1","IMPORT","","0.0","","2","SOF","CARGILL"
"16413","16413","1","IMPORT","","0.0","","2","SOF","ALLIANCE BORDEAUX"
"16443","16443","1","IMPORT","","0.0","","2","SOF","ALPINA SAVOIE"
"16467","16467","1","IMPORT","","0.0","","2","SOF","DPF"
"16629","16629","1","IMPORT","","0.0","","2","SOF","ZELNOVA SA"
"16779","16779","1","IMPORT","","0.0","","2","SOF","AZUREENNE DE CONFISERIE"
"16896","16896","1","IMPORT","","0.0","","2","SOF","MINERVE  CONSERVERIE SA"
"16969","16969","1","IMPORT","","0.0","","2","SOF","SOUBRY JOSEPH S.A"
"17202","17202","1","IMPORT","","0.0","","2","SOF","GAILLARD"
"17316","17316","1","IMPORT","","0.0","","2","SOF","CIRIO FRANCE"
"17723","17723","1","IMPORT","","0.0","","2","SOF","FLAWA SA/P.A R.F EUROPE INTER"
"17724","17724","1","IMPORT","","0.0","","2","SOF","AR INDUSTRIE ALIMENTAIRE SPA"
"17735","17735","1","IMPORT","","0.0","","2","SOF","BARBIER ET CIE"
"17739","17739","1","IMPORT","","0.0","","2","SOF","GRINGOIRE"
"17765","17765","1","IMPORT","","0.0","","2","SOF","LA BOULANGÈRE"
"17767","17767","1","IMPORT","","0.0","","2","SOF","LORENZ BAHLSEN FRANCE"
"17949","17949","1","IMPORT","","0.0","","2","SOF","CEREAL PARTNERS FRANCE"
"18163","18163","1","IMPORT","","0.0","","2","SOF","MONFRANCE SARL"
"18217","18217","1","IMPORT","","0.0","","2","SOF","DE KROES"
"18220","18220","1","IMPORT","","0.0","","2","SOF","DUC D'O CHOCOLATS"
"18225","18225","1","IMPORT","","0.0","","2","SOF","KINNERTON CONFECT"
"18266","18266","1","IMPORT","","0.0","","2","SOF","BRUGGEN"
"18268","18268","1","IMPORT","","0.0","","2","SOF","MERISANT"
"18275","18275","1","IMPORT","","0.0","","2","SOF","SPCH"
"18308","18308","1","IMPORT","","0.0","","2","SOF","NICOLS FRANCE"
"18378","18378","1","IMPORT","","0.0","","2","SOF","P.A.N.D.A.  S.A"
"18431","18431","1","IMPORT","","0.0","","2","SOF","SOPAFI SA"
"18478","18478","1","IMPORT","","0.0","","2","SOF","MENKEN"
"18504","18504","1","IMPORT","","0.0","","2","SOF","NORMANDISE"
"18523","18523","1","IMPORT","","0.0","","2","SOF","THE JORDANS & RYVITA"
"18537","18537","1","IMPORT","","0.0","","2","SOF","NICE PAK"
"18547","18547","1","IMPORT","","0.0","","2","SOF","ATM SA"
"18549","18549","1","IMPORT","","0.0","","2","SOF","FRINSA DEL NOROESTE"
"18568","18568","1","IMPORT","","0.0","","2","SOF","BROCHENIN JULES SA"
"18597","18597","1","IMPORT","","0.0","","2","SOF","ARTENAY AGRO DEVELOPPEMENT"
"18611","18611","1","IMPORT","","0.0","","2","SOF","HYGIENE PARTNERS"
"18699","18699","1","IMPORT","","0.0","","2","SOF","COSTA SAL"
"18715","18715","1","IMPORT","","0.0","","2","SOF","LAS SRL"
"18763","18763","1","IMPORT","","0.0","","2","SOF","FETE LATINE"
"18785","18785","1","IMPORT","","0.0","","2","SOF","BON BON BUDDIES"
"18820","18820","1","IMPORT","","0.0","","2","SOF","CORNU FOUNTAIN"
"18862","18862","1","IMPORT","","0.0","","2","SOF","HOCHWALD NAHRUNGSMIT"
"18866","18866","1","IMPORT","","0.0","","2","SOF","GBC JACQUET SEC"
"18949","18949","1","IMPORT","","0.0","","2","SOF","CAMPINA"
"18964","18964","1","IMPORT","","0.0","","2","SOF","LEGAL S.A"
"19000","19000","1","IMPORT","","0.0","","2","SOF","PRINSEN BV"
"19073","19073","1","IMPORT","","0.0","","2","SOF","SAVONNERIES BERNARD"
"19095","19095","1","IMPORT","","0.0","","2","SOF","LEMOINE SA"
"19100","19100","1","IMPORT","","0.0","","2","SOF","LARNAUDIE JEAN"
"19127","19127","1","IMPORT","","0.0","","2","SOF","ROUTIN SA"
"19243","19243","1","IMPORT","","0.0","","2","SOF","FAVRICHON"
"19279","19279","1","IMPORT","","0.0","","2","SOF","ANNUNZIATA FRANCE"
"19390","19390","1","IMPORT","","0.0","","2","SOF","PRINCES FOODS BV"
"19402","19402","1","IMPORT","","0.0","","2","SOF","GIAGUARO SPA"
"19451","19451","1","IMPORT","","0.0","","2","SOF","NUOVA WITOR'S"
"19553","19553","1","IMPORT","","0.0","","2","SOF","RIPENSA/AS"
"19583","19583","1","IMPORT","","0.0","","2","SOF","COLGATE EXPORT CONDITION FRANC"
"19593","19593","1","IMPORT","","0.0","","2","SOF","CONTINENTALE NUTRITION"
"19737","19737","1","IMPORT","","0.0","","2","SOF","RECKITT BENCKISER"
"19755","19755","1","IMPORT","","0.0","","2","SOF","MIDYBEL"
"19805","19805","1","IMPORT","","0.0","","2","SOF","PAIN CLÉMENT SAS"
"19888","19888","1","IMPORT","","0.0","","2","SOF","ODENWALD KONSERVEN GMBH"
"19966","19966","1","IMPORT","","0.0","","2","SOF","LINDT"
"19988","19988","1","IMPORT","","0.0","","2","SOF","QUADRIMEX CHIMIE"
"20004","20004","1","IMPORT","","0.0","","2","SOF","LU FRANCE"
"20021","20021","1","IMPORT","","0.0","","2","SOF","MASTER FOODS"
"20045","20045","1","IMPORT","","0.0","","2","SOF","CURTI"
"20052","20052","1","IMPORT","","0.0","","2","SOF","ACEITUNAS GUADALQUIVIR"
"20074","20074","1","IMPORT","","0.0","","2","SOF","CIP4 SPA"
"20081","20081","1","IMPORT","","0.0","","2","SOF","AROVIT PETFOOD FRANCE"
"20118","20118","1","IMPORT","","0.0","","2","SOF","JONKER FRIS BV"
"20192","20192","1","IMPORT","","0.0","","2","SOF","CORREZE CONSERVES"
"20247","20247","1","IMPORT","","0.0","","2","SOF","DIPA"
"20284","20284","1","IMPORT","","0.0","","2","SOF","ROCKLINE INDUSTRIES LTD"
"20344","20344","1","IMPORT","","0.0","","2","SOF","CHOCOLATERIE DU COTENTIN"
"20483","20483","1","IMPORT","","0.0","","2","SOF","COMOLIVE"
"20503","20503","1","IMPORT","","0.0","","2","SOF","COATHALEM BISCUITERIE"
"20568","20568","1","IMPORT","","0.0","","2","SOF","CERECO"
"20703","20703","1","IMPORT","","0.0","","2","SOF","EUROPEENNE EMBOUTEILLAGE"
"20883","20883","1","IMPORT","","0.0","","2","SOF","CIE FRANCAISE DES GRANDS VINS"
"21014","21014","1","IMPORT","","0.0","","2","SOF","UNILEVER INTERNATIONAL PARIS"
"21174","21174","1","IMPORT","","0.0","","2","SOF","VICTOR FAUCONNIER"
"21853","21853","1","IMPORT","","0.0","","2","SOF","MAITRES CHOCOLATIERS OCCITANS"
"21872","21872","1","IMPORT","","0.0","","2","SOF","BISCUITERIE LE GOFF"
"21889","21889","1","IMPORT","","0.0","","2","SOF","C.P.C.E"
"22142","22142","1","IMPORT","","0.0","","2","SOF","GAZZOLA"
"22425","22425","1","IMPORT","","0.0","","2","SOF","SOULIE RESTAURATION"
"22536","22536","1","IMPORT","","0.0","","2","SOF","WINDEL GMBH"
"22614","22614","1","IMPORT","","0.0","","2","SOF","WEPA LILLE"
"22838","22838","1","IMPORT","","0.0","","2","SOF","FRUITE SA-VERGERS SAVOIE"
"22907","22907","1","IMPORT","","0.0","","2","SOF","CHABERT&GUILLOT"
"23220","23220","1","IMPORT","","0.0","","2","SOF","M"
"23256","23256","1","IMPORT","","0.0","","2","SOF","ROHAN"
"23276","23276","1","IMPORT","","0.0","","2","SOF","FREDERIC CHOCOLATS"
"23363","23363","1","IMPORT","","0.0","","2","SOF","DEUTSCHE EXTRAKT KAFFEE GMBH"
"23386","23386","1","IMPORT","","0.0","","2","SOF","CHARLES ET ALICE"
"23446","23446","1","IMPORT","","0.0","","2","SOF","BOUVART BISCUITS"
"23566","23566","1","IMPORT","","0.0","","2","SOF","TRESCARTES"
"23795","23795","1","IMPORT","","0.0","","2","SOF","LA DORIA SPA"
"23815","23815","1","IMPORT","","0.0","","2","SOF","LES VERGERS D'ALSACE"
"23847","23847","1","IMPORT","","0.0","","2","SOF","YPLON"
"24144","24144","1","IMPORT","","0.0","","2","SOF","GOLDEN FOODS"
"24146","24146","1","IMPORT","","0.0","","2","SOF","KENTAUR"
"24147","24147","1","IMPORT","","0.0","","2","SOF","FARO FOLIENFABRIK"
"24484","24484","1","IMPORT","","0.0","","2","SOF","CONSERVES DE PROVENCE"
"24718","24718","1","IMPORT","","0.0","","2","SOF","GROUPEMENT COMMERC DU BISCUIT"
"24762","24762","1","IMPORT","","0.0","","2","SOF","HAUST BV"
"24794","24794","1","IMPORT","","0.0","","2","SOF","VALEURDIS SA"
"24804","24804","1","IMPORT","","0.0","","2","SOF","INTERGARDEN"
"24908","24908","1","IMPORT","","0.0","","2","SOF","VITAVIE SARL"
"25079","25079","1","IMPORT","","0.0","","2","SOF","ORANGINA SCHWEPPES FRANCE"
"25816","25816","1","IMPORT","","0.0","","2","SOF","CANDIA"
"25999","25999","1","IMPORT","","0.0","","2","SOF","MUH"
"26309","26309","1","IMPORT","","0.0","","2","SOF","VALFLEURI"
"26584","26584","1","IMPORT","","0.0","","2","SOF","SOUFFLET VALENCIENNES"
"27043","27043","1","IMPORT","","0.0","","2","SOF","LANGE"
"27375","27375","1","IMPORT","","0.0","","2","SOF","DOLIS"
"27411","27411","1","IMPORT","","0.0","","2","SOF","CONTINENTAL BISCUITS SA"
"27458","27458","1","IMPORT","","0.0","","2","SOF","CARREFOUR IMPORT SAS NONAL"
"27472","27472","1","IMPORT","","0.0","","2","SOF","SARA LEE COFFEE & TEA FRANCE"
"28131","28131","1","IMPORT","","0.0","","2","SOF","CHEVAL QUANCARD"
"28229","28229","1","IMPORT","","0.0","","2","SOF","DUBOIS BISCUITS"
"28231","28231","1","IMPORT","","0.0","","2","SOF","FERRERO FRANCE"
"28271","28271","1","IMPORT","","0.0","","2","SOF","DUPONT D'ISIGNY SN"
"28358","28358","1","IMPORT","","0.0","","2","SOF","ESCO FRANCE"
"28397","28397","1","IMPORT","","0.0","","2","SOF","MATERNE BOIN"
"29112","29112","1","IMPORT","","0.0","","2","SOF","LIMELCO"
"29228","29228","1","IMPORT","","0.0","","2","SOF","BROUWERIJ MARTENS"
"29380","29380","1","IMPORT","","0.0","","2","SOF","ECKES GRANINI FRANCE"
"29604","29604","1","IMPORT","","0.0","","2","SOF","DELICES DE LA MER"
"29819","29819","1","IMPORT","","0.0","","2","SOF","A TEX"
"29863","29863","1","IMPORT","","0.0","","2","SOF","BRIAND GUY ETS EURL"
"30072","30072","1","IMPORT","","0.0","","2","SOF","FAISSOLE BISCOTTE"
"30142","30142","1","IMPORT","","0.0","","2","SOF","GUYLIAN CHOCOLATS"
"30242","30242","1","IMPORT","","0.0","","2","SOF","CAVES DE YUTZ SARL"
"30455","30455","1","IMPORT","","0.0","","2","SOF","FIPPI SPA"
"30470","30470","1","IMPORT","","0.0","","2","SOF","LUCART"
"30671","30671","1","IMPORT","","0.0","","2","SOF","DELPEYRAT"
"30945","30945","1","IMPORT","","0.0","","2","SOF","PACKAGING DISTRIBUTION"
"31048","31048","1","IMPORT","","0.0","","2","SOF","CAT HAUT VIVARAI"
"31452","31452","1","IMPORT","","0.0","","2","SOF","EXELLA S.A CAFES"
"31508","31508","1","IMPORT","","0.0","","2","SOF","EUROPEENNE DE CONDIMENT"
"31581","31581","1","IMPORT","","0.0","","2","SOF","FAUGIER CLEMENT"
"31683","31683","1","IMPORT","","0.0","","2","SOF","LA COMPAGNIE DU BISCUIT SA"
"31705","31705","1","IMPORT","","0.0","","2","SOF","TL FOOD"
"31762","31762","1","IMPORT","","0.0","","2","SOF","SALINES DE GUERANDE"
"32447","32447","1","IMPORT","","0.0","","2","SOF","FERRIGNO FILS"
"32528","32528","1","IMPORT","","0.0","","2","SOF","SURAL SACICC"
"32539","32539","1","IMPORT","","0.0","","2","SOF","FERICO S.A"
"32787","32787","1","IMPORT","","0.0","","2","SOF","POPPIES BISCUITERIE INTERN NV"
"33106","33106","1","IMPORT","","0.0","","2","SOF","FIZZY"
"33239","33239","1","IMPORT","","0.0","","2","SOF","SA FLODOR"
"33379","33379","1","IMPORT","","0.0","","2","SOF","COVINOR"
"33519","33519","1","IMPORT","","0.0","","2","SOF","FORCHY PATISSIER SA"
"33704","33704","1","IMPORT","","0.0","","2","SOF","COBRECO"
"34162","34162","1","IMPORT","","0.0","","2","SOF","CACI IMPORT"
"34222","34222","1","IMPORT","","0.0","","2","SOF","FRUCTA PARTNER GROUP"
"34223","34223","1","IMPORT","","0.0","","2","SOF","LA BROSSE ET DUPONT"
"34423","34423","1","IMPORT","","0.0","","2","SOF","VARTA"
"34677","34677","1","IMPORT","","0.0","","2","SOF","FRANCE FARINE"
"35013","35013","1","IMPORT","","0.0","","2","SOF","BISCUITS LACYDON SARL"
"35147","35147","1","IMPORT","","0.0","","2","SOF","OLIBET"
"35308","35308","1","IMPORT","","0.0","","2","SOF","PAGES"
"35387","35387","1","IMPORT","","0.0","","2","SOF","FUCHS EPICES"
"35692","35692","1","IMPORT","","0.0","","2","SOF","G A M (ART CUISINE)"
"35939","35939","1","IMPORT","","0.0","","2","SOF","DAILYCER S.A"
"35995","35995","1","IMPORT","","0.0","","2","SOF","3.P FRANCE"
"36343","36343","1","IMPORT","","0.0","","2","SOF","CONFISERIE DU TE"
"36447","36447","1","IMPORT","","0.0","","2","SOF","C.G.C  PENNY A ST THURIEN"
"36720","36720","1","IMPORT","","0.0","","2","SOF","RIVIERE"
"37200","37200","1","IMPORT","","0.0","","2","SOF","DAUCY CONSERVES"
"37233","37233","1","IMPORT","","0.0","","2","SOF","SAINT OMER BRASSERIE"
"37304","37304","1","IMPORT","","0.0","","2","SOF","GENDREAU"
"37469","37469","1","IMPORT","","0.0","","2","SOF","GESNOIN PONT L'EVEQUE"
"37751","37751","1","IMPORT","","0.0","","2","SOF","SIBELL"
"37966","37966","1","IMPORT","","0.0","","2","SOF","CODEFA"
"38618","38618","1","IMPORT","","0.0","","2","SOF","DESPINOY"
"38629","38629","1","IMPORT","","0.0","","2","SOF","SALLES FRERES"
"38806","38806","1","IMPORT","","0.0","","2","SOF","BOEHLI SARL"
"38834","38834","1","IMPORT","","0.0","","2","SOF","CLUB RESTAURATION"
"39664","39664","1","IMPORT","","0.0","","2","SOF","GRATIEN MEYER SEYDOU"
"39965","39965","1","IMPORT","","0.0","","2","SOF","B.P.L LEGUMES"
"40036","40036","1","IMPORT","","0.0","","2","SOF","BEIERSDORF SA"
"40427","40427","1","IMPORT","","0.0","","2","SOF","ALBATROS SA"
"41025","41025","1","IMPORT","","0.0","","2","SOF","STE HYDRA"
"41057","41057","1","IMPORT","","0.0","","2","SOF","SALAISONS DU JET"
"41179","41179","1","IMPORT","","0.0","","2","SOF","FAMAR LABORATOIRE"
"41237","41237","1","IMPORT","","0.0","","2","SOF","AUZIER-CHABERNAC"
"41274","41274","1","IMPORT","","0.0","","2","SOF","SCA HYGIENE EX SODIPAN"
"41316","41316","1","IMPORT","","0.0","","2","SOF","ROZENBLIT"
"42247","42247","1","IMPORT","","0.0","","2","SOF","HARIBO"
"42681","42681","1","IMPORT","","0.0","","2","SOF","HENAFF"
"42806","42806","1","IMPORT","","0.0","","2","SOF","SPEL"
"42857","42857","1","IMPORT","","0.0","","2","SOF","TOLSA"
"44470","44470","1","IMPORT","","0.0","","2","SOF","I.M.P ALUVIN"
"44530","44530","1","IMPORT","","0.0","","2","SOF","PIETERCIL INTERCO"
"44852","44852","1","IMPORT","","0.0","","2","SOF","JACQUOT"
"45164","45164","1","IMPORT","","0.0","","2","SOF","LES JARDINS ST E"
"46285","46285","1","IMPORT","","0.0","","2","SOF","DELTA PLUS"
"47014","47014","1","IMPORT","","0.0","","2","SOF","KELLOG'S FRANCE"
"47450","47450","1","IMPORT","","0.0","","2","SOF","KRAFT JACOB SUCHARD"
"47453","47453","1","IMPORT","","0.0","","2","SOF","BRASSERIES KRONENBOURG"
"47584","47584","1","IMPORT","","0.0","","2","SOF","LARZUL"
"47640","47640","1","IMPORT","","0.0","","2","SOF","LAPARRE"
"47663","47663","1","IMPORT","","0.0","","2","SOF","BISCUITERIE DE L'ABBAYE"
"47936","47936","1","IMPORT","","0.0","","2","SOF","C.C.L.F"
"48078","48078","1","IMPORT","","0.0","","2","SOF","L'ABEILLE SA"
"48088","48088","1","IMPORT","","0.0","","2","SOF","LEAF FRANCE"
"50679","50679","1","IMPORT","","0.0","","2","SOF","LEROUX"
"51295","51295","1","IMPORT","","0.0","","2","SOF","REGALS DE BRETAGNE"
"51377","51377","1","IMPORT","","0.0","","2","SOF","DALLI FRANCE"
"51450","51450","1","IMPORT","","0.0","","2","SOF","NESTLE NEDERLAND B.V"
"51545","51545","1","IMPORT","","0.0","","2","SOF","LOC MARIA SA"
"51593","51593","1","IMPORT","","0.0","","2","SOF","PASTACORP"
"51619","51619","1","IMPORT","","0.0","","2","SOF","DELPIERRE MER TRADITION"
"51635","51635","1","IMPORT","","0.0","","2","SOF","RELEVI SPA"
"51660","51660","1","IMPORT","","0.0","","2","SOF","OROMAS SA"
"51698","51698","1","IMPORT","","0.0","","2","SOF","BERGERAC CONSERVERIE"
"51712","51712","1","IMPORT","","0.0","","2","SOF","LIGHTBODY EUROPE SARL"
"51892","51892","1","IMPORT","","0.0","","2","SOF","AMH LABO SAS"
"51908","51908","1","IMPORT","","0.0","","2","SOF","NUTRIMAINE"
"52022","52022","1","IMPORT","","0.0","","2","SOF","TRAOU MAD"
"52202","52202","1","IMPORT","","0.0","","2","SOF","IBERFRUTA MUERZA"
"52225","52225","1","IMPORT","","0.0","","2","SOF","RABOSTOCK"
"53069","53069","1","IMPORT","","0.0","","2","SOF","QUICKPACK HAUSHALT & HYGIENE"
"55071","55071","1","IMPORT","","0.0","","2","SOF","LOR(BISCUIT/CONFISERIE)"
"55799","55799","1","IMPORT","","0.0","","2","SOF","CHOCOLAT FREY"
"55809","55809","1","IMPORT","","0.0","","2","SOF","VSR"
"55862","55862","1","IMPORT","","0.0","","2","SOF","MATHEZ CHOCOLATS"
"55895","55895","1","IMPORT","","0.0","","2","SOF","BACARDI-MARTINI"
"55986","55986","1","IMPORT","","0.0","","2","SOF","MARTIN LOUIS SA"
"59006","59006","1","ASP","","0.0","","2","SOF","LOGIGUA SARL"
"59794","59794","1","IMPORT","","0.0","","2","SOF","MELITTA"
"59956","59956","1","IMPORT","","0.0","","2","SOF","MENISSEZ"
"60168","60168","1","IMPORT","","0.0","","2","SOF","EURO WIPES"
"60270","60270","1","IMPORT","","0.0","","2","SOF","DELIPAPIER"
"60957","60957","1","IMPORT","","0.0","","2","SOF","EURO AGRO FOODS"
"60974","60974","1","IMPORT","","0.0","","2","SOF","MADELEINES BIJOU"
"60983","60983","1","IMPORT","","0.0","","2","SOF","MICHAUD"
"61009","61009","1","IMPORT","","0.0","","2","SOF","SALINS DU MIDI"
"61149","61149","1","IMPORT","","0.0","","2","SOF","FIDELE"
"61221","61221","1","IMPORT","","0.0","","2","SOF","MINIGRIP"
"61420","61420","1","IMPORT","","0.0","","2","SOF","MOLISANE INDUSTRIE"
"61495","61495","1","IMPORT","","0.0","","2","SOF","FIRMA ROLESKI SP.ZO"
"61547","61547","1","IMPORT","","0.0","","2","SOF","VINAIGRERIE CARVIN"
"61589","61589","1","IMPORT","","0.0","","2","SOF","CIP ASSORBENTI"
"61847","61847","1","IMPORT","","0.0","","2","SOF","LES JARDINS DE L'ORBRIE SARL"
"61947","61947","1","IMPORT","","0.0","","2","SOF","NOVACARE/MOUGEOT PAPETERIE"
"62057","62057","1","IMPORT","","0.0","","2","SOF","ST MICHEL BISCUITS"
"62926","62926","1","IMPORT","","0.0","","2","SOF","MELI & MELAPI"
"63049","63049","1","IMPORT","","0.0","","2","SOF","SAVONNERIE DE L'ATLANTIQUE"
"63051","63051","1","IMPORT","","0.0","","2","SOF","PEZZULLO MOLINI PASTIFICI"
"63132","63132","1","IMPORT","","0.0","","2","SOF","ANGEL CAMACHO SA"
"63485","63485","1","IMPORT","","0.0","","2","SOF","DUOPOLE"
"63559","63559","1","IMPORT","","0.0","","2","SOF","DANLIND SA"
"64620","64620","1","IMPORT","","0.0","","2","SOF","VICO"
"64915","64915","1","IMPORT","","0.0","","2","SOF","SPONTEX S N C"
"66022","66022","1","IMPORT","","0.0","","2","SOF","PANZANI WILLIAM SAURIN"
"66027","66027","1","IMPORT","","0.0","","2","SOF","PATRELLE"
