"00105","00105","1","IMPORT","","0.0","","2","SOF","C.C.E."
"00106","00106","1","IMPORT","","0.0","","2","SOF","SCHWEPPES-OASIS"
"00107","00107","1","IMPORT","","0.0","","2","SOF","ARACHIDE COQUE"
"00108","00108","1","IMPORT","","0.0","","2","SOF","GEORGES DARRAS 97900"
"00109","00109","1","IMPORT","","0.0","","2","SOF","SOGEDIAL AULX/PDT/OI"
"00110","00110","1","IMPORT","","0.0","","2","SOF","GRAY ET CIE ( SUNKIS"
"00111","00111","1","IMPORT","","0.0","","2","SOF","FRANCE PRUNE PRUNIL."
"00112","00112","1","IMPORT","","0.0","","2","SOF","GENIEVRE HENKES"
"00113","00113","1","IMPORT","","0.0","","2","SOF","VOLVIC"
"00114","00114","1","IMPORT","","0.0","","2","SOF","PERRIER"
"00115","00115","1","IMPORT","","0.0","","2","SOF","UNILEVER............"
"00116","00116","1","IMPORT","","0.0","","2","SOF","NN"
"00117","00117","1","IMPORT","","0.0","","2","SOF","UNILEVER/NDT ......."
"00118","00118","1","IMPORT","","0.0","","2","SOF","GEO-SAP  - 10171"
"00119","00119","1","IMPORT","","0.0","","2","SOF","VICHY-ST YORRE VIA NEPTUNE SNC"
"00121","00121","1","ASP","","0.0","","2","SOF","SUCRE GALION/SAEM"
"00122","00122","1","IMPORT","","0.0","","2","SOF","SCOR AMPIGNY"
"00123","00123","1","IMPORT","","0.0","","2","SOF","SAINT ANTOINE"
"00124","00124","1","IMPORT","","0.0","","2","SOF","BEAUMARAIS"
"00125","00125","1","ASP","","0.0","","2","SOF","FONT.DIDIER/SEEMD"
"00126","00126","1","IMPORT","","0.0","","2","SOF","CANTALOU 60P-500P- 1"
"00131","00131","1","IMPORT","","0.0","","2","SOF","CABY EXPORT 13594"
"00133","00133","1","IMPORT","","0.0","","2","SOF","UNION BISC.4/19 PAL."
"00150","00150","1","IMPORT","","0.0","","2","SOF","SOGEDIAL-SALAISONS-"
"00151","00151","1","IMPORT","","0.0","","2","SOF","ROUGIER BISCUITS 759"
"00169","00169","1","IMPORT","","0.0","","2","SOF","LESAFFRE -LEVURE"
"00171","00171","1","IMPORT","","0.0","","2","SOF","CIA DELLE SPEZIE 319"
"00174","00174","1","IMPORT","","0.0","","2","SOF","HARRY'S FRANCE"
"00178","00178","1","IMPORT","","0.0","","2","SOF","CIRIO FRANCE - 17316"
"00180","00180","1","IMPORT","","0.0","","2","SOF","TEISSEIRE  9271"
"00194","00194","1","IMPORT","","0.0","","2","SOF","LESIEUR EXPORTATION"
"00195","00195","1","IMPORT","","0.0","","2","SOF","KAMBLY FRANCE"
"00199","00199","1","IMPORT","","0.0","","2","SOF","VALEXPORT- 75910"
"00200","00200","1","IMPORT","","0.0","","2","SOF","FRANCE-LAIT"
"00201","00201","1","ASP","","0.0","","2","SOF","BISCUITERIE GIRARD"
"00202","00202","1","IMPORT","","0.0","","2","SOF","PRODIREST SNC LAVAL"
"00203","00203","1","ASP","","0.0","","2","SOF","LA MAUNY"
"00204","00204","1","IMPORT","","0.0","","2","SOF","COLGATE-PALMOLIVE -"
"00205","00205","1","ASP","","0.0","","2","SOF","ROGER ALBERT SA"
"00209","00209","1","ASP","","0.0","","2","SOF","MARGARINERIE.MARTINI"
"00210","00210","1","IMPORT","","0.0","","2","SOF","TAMBRANDS-MIN.10 C-8"
"00212","00212","1","ASP","","0.0","","2","SOF","RHUM ALC00L & DERIVE"
"00213","00213","1","ASP","","0.0","","2","SOF","SODICAR"
"00214","00214","1","ASP","","0.0","","2","SOF","CLARTE DIVINE"
"00215","00215","1","IMPORT","","0.0","","2","SOF","THION ET FILS 83290"
"00216","00216","1","ASP","","0.0","","2","SOF","SOMES CHANFLOR"
"00217","00217","1","ASP","","0.0","","2","SOF","NESTLE"
"00218","00218","1","ASP","","0.0","","2","SOF","WONDER MARTINIQUE"
"00219","00219","1","ASP","","0.0","","2","SOF","MIEL DEPAZ"
"00222","00222","1","ASP","","0.0","","2","SOF","SOCARA"
"00223","00223","1","ASP","","0.0","","2","SOF","MIEL BALLY"
"00224","00224","1","ASP","","0.0","","2","SOF","ROYAL SA"
"00225","00225","1","ASP","","0.0","","2","SOF","SOGEDIS"
"00226","00226","1","IMPORT","","0.0","","2","SOF","TT PLAST"
"00227","00227","1","IMPORT","","0.0","","2","SOF","MARTIN  55986"
"00230","00230","1","ASP","","0.0","","2","SOF","LEVERT EMBALLAGE"
"00235","00235","1","ASP","","0.0","","2","SOF","MONT-PELE"
"00237","00237","1","ASP","","0.0","","2","SOF","SODICAR/LU -HEUDEBER"
"00241","00241","1","IMPORT","","0.0","","2","SOF","CANDIA -CEDILAC - 25"
"00242","00242","1","IMPORT","","0.0","","2","SOF","CAMPINA ( LAIT )"
"00243","00243","1","IMPORT","","0.0","","2","SOF","GUINAMAND  99541"
"00250","00250","1","IMPORT","","0.0","","2","SOF","UNCLE BEN'S U.S.A"
"00252","00252","1","IMPORT","","0.0","","2","SOF","VERQUIN 500KG/PAL.-8"
"00255","00255","1","IMPORT","","0.0","","2","SOF","INTERAL - 01951"
"00256","00256","1","IMPORT","","0.0","","2","SOF","LISTEL 07929"
"00257","00257","1","IMPORT","","0.0","","2","SOF","BERNAT MINIM.CDE 60"
"00258","00258","1","IMPORT","","0.0","","2","SOF","BRABO FOODS DIST. 10"
"00263","00263","1","IMPORT","","0.0","","2","SOF","CURAT DOP BISCUITS S"
"00267","00267","1","IMPORT","","0.0","","2","SOF","BEGHIN SAY 05122"
"00270","00270","1","IMPORT","","0.0","","2","SOF","MATTERN S.A."
"00271","00271","1","IMPORT","","0.0","","2","SOF","RECKITT & COLMAN 736"
"00280","00280","1","IMPORT","","0.0","","2","SOF","D'AUCY CECAD"
