"P20","LAFORT","","",""
"P21","LDM","","",""
"P22","LE BRETON","","",""
"P23","LE DOLO","","",""
"P24","LE GALION","","",""
"P26","LE MONTAGNARD","","",""
"P27","LE MOULIN","","",""
"P29","RAMEAU D'ARGENT","","",""
"P30","LEGAL","","",""
"P31","LENOR","","",""
"P32","LEROUX","","",""
"P33","LES COSMETIQUES","","",""
"P34","LINDT","","",""
"P35","LIPTON","","",""
"P36","LU","","",""
"P37","MAGLINE","","",""
"P38","MAILLE","","",""
"P39","MAITRES GOUSTIE","","",""
"P40","MAIZENA","","",""
"P41","MAKLI","","",""
"P42","MARTINI","","",""
"P44","MATHILDE","","",""
"P45","MAUREL","","",""
"P46","MC ILHENNY CO","","",""
"P47","MICHAUD","","",""
"P48","MISTER CHIC","","",""
"P49","MON CHERI","","",""
"P50","MOTTA","","",""
"P51","MUSCADOR","","",""
"P53","NAUTILUS","","",""
"P54","NECTAR OF NATUR","","",""
"P55","NESTLE","","",""
"P56","NEZO","","",""
"P57","NOILLY PRAT","","",""
"P58","NUTELLA","","",""
"P59","OMO","","",""
"P60","OTARD","","",""
"P61","PALMIER","","",""
"P62","PAN ORIENT","","",""
"P63","PANZANI","","",""
"P64","PAREO","","",""
"P65","PARTYFIZZ","","",""
"P66","PAUL&LOUISE","","",""
"P67","PERSIL","","",""
"P68","PETIT JEAN","","",""
"P69","PHILIPS","","",""
"P70","PPB","","",""
"P72","QUALITY BAKERS","","",""
"P73","RACINES","","",""
"P75","REVILLON","","",""
"P76","REXONA","","",""
"P77","RIEGELEIN","","",""
"P78","ROYAL","","",""
"P80","SABAROT","","",""
"P81","SAF INSTANT","","",""
"P82","SAINT LOUIS","","",""
"P83","SAINT MERAC","","",""
"P84","SALINA","","",""
"P85","SAVORA","","",""
"P86","SELEXTRA","","",""
"P87","SEREBIS","","",""
"P88","SIGNAL","","",""
"P89","SKIP","","",""
"P90","ST MAMET","","",""
"P91","SUN","","",""
"P92","SWEET PARTY","","",""
"P93","TAUREAU AILE","","",""
"P94","THAI FLORIDA","","",""
"P95","TIPIAK","","",""
"P97","TOBLERONE","","",""
"P98","TRAMIER","","",""
"P99","V8","","",""
"Q01","FORCHY","","",""
"Q02","PAYSAN BRETON","","",""
"Q04","TRANCETTO","","",""
"Q11","VIANDOX","","",""
"Q12","VICHY","","",""
"Q13","VICTORIA","","",""
"Q14","VIVIEN PAILLE","","",""
"Q15","WILLIAM LAWSON'","","",""
"Q16","WILLIAM SAURIN","","",""
"Q17","WAI WAI","","",""
"Q18","SUREE","","",""
"Q19","ALLERGO","","",""
"Q20","PRESIDENT","","",""
"Q21","CAJOLINE","","",""
"Q22","DOMESTOS","","",""
"Q23","BAYGON","","",""
"Q24","BIC","","",""
"Q25","TIMOTEI","","",""
"Q27","COCA COLA","","",""
"Q28","CACOLAC","","",""
"Q29","LISTEL","","",""
"Q30","SENAC","","",""
"Q31","AUGUSTIN FLOREN","","",""
"Q33","MELLITA","","",""
"Q34","BANANIA","","",""
"Q35","VAN HOUTEN","","",""
"Q36","BEGHIN SAY","","",""
"Q37","GMA","","",""
"Q39","CAPBON","","",""
"Q40","JARDIN ORANTE","","",""
"Q41","CHARLEVAL","","",""
"Q42","GEANT VERT","","",""
"Q43","TULIP","","",""
"Q44","LE CABANON","","",""
"Q45","GARBIT","","",""
"Q46","NIVEA","","",""
"Q47","LEBLON","","",""
"Q48","GREY GOOSE","","",""
"Q49","ABERFELDY","","",""
"Q50","ALPINA SAVOIE","","",""
"Q51","DELAFON","","",""
"Q52","HEINZ","","",""
"Q53","HEPAR","","",""
"Q54","HIDEKO","","",""
"Q55","JADE BRIDGE","","",""
"Q56","JINJICUP","","",""
"Q57","KITS NEWS","","",""
"Q58","LOUIS VARANCY","","",""
"Q59","NETTY","","",""
"Q60","PAMPERS","","",""
"Q61","PETIT TOM","","",""
"Q62","PLATIP","","",""
"Q63","SAKURA","","",""
"Q64","TREBLEC","","",""
"Q65","ILMIOGUSTO","","",""
"REN","RENUSIT","","",""
"SAM","SAMOS","","",""
"SCB","SCOTCH BRITE 3M","","",""
"SCO","SCORPIO","","",""
"SEN","SENSEO","","",""
"SHB","SHEBA","","",""
"SKI","SKITTLES","","",""
"SNI","SNICKERS","","",""
"SNS","SMOOTH N'SHINE","","",""
"SOY","SOYANCE","","",""
"SUP","SUPER CROIX","","",""
"SUW","SUZI WAN","","",""
"SWK","SCHWARZKOPF","","",""
"SWM","SCHWARZKOPF MEN","","",""
"SYL","SYLPHIDE","","",""
"SYO","SYOSS","","",""
"SYR","SYRTOS","","",""
"TAF","TAFT","","",""
"TAS","TASSIMO","","",""
"TER","TERRA","","",""
"TOA","TOASTINETTE","","",""
"TWI","TWIX","","",""
"UNC","UNCLE BEN'S","","",""
"VAD","VADEMECUM","","",""
"VLN","VELOURS NOIR","","",""
"VQR","VACHE QUI RIT","","",""
"WHI","WHISKAS","","",""
"WIL","WILLIAMS","","",""
"XTR","X-TRA","","",""
"XYL","TERAXYL","","",""
"ZEN","ZENDIUM","","",""
